state,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,10039,10708,11037,13093,11881,11387,11203,11265,10912,10451,10749,12170,13160,13267,7963,8597
Alaska,3065,3272,4857,2761,2650,1038,3906,3906,3846,4271,1804,1580,1765,1560,1664,1457
Arizona,13954,14046,14867,14526,13249,13030,12970,13538,14439,14670,13663,13423,13753,13440,9999,9706
Arkansas,5992,6651,7017,7383,7603,7059,5782,8987,9435,9351,9911,8971,9572,10268,8328,8736
California,138523,139608,140827,129705,118943,96669,34294,38295,38765,34790,35730,37091,35330,34215,11565,25834
Colorado,10468,10959,11089,11054,10553,9455,9409,10137,10144,9291,8707,9638,10155,9413,5883,5623
Connecticut,6904,6982,6503,6293,6182,5881,5659,5492,5487,5377,4747,4401,4162,4058,1907,2142
Delaware,1546,1899,1494,1550,1583,3031,3017,3142,3349,3146,3096,2897,2505,2007,1104,1302
Florida,36295,33552,40860,38050,32786,33399,32265,33613,32014,30431,29038,28189,28495,27986,13147,23169
Georgia,22347,21134,18625,17600,16718,14877,15743,19478,18455,17227,17585,16699,17736,18277,9861,13038
Hawaii,1455,1514,1731,1714,1577,1366,1524,1380,1845,1515,1538,1528,1784,1440,1260,1128
Idaho,4129,4055,3867,3857,4301,3531,4568,3719,4597,4092,5766,5747,5003,5250,2717,3609
Illinois,NA,35968,36125,37718,34316,31167,30877,30959,29678,27175,25661,24468,22835,21951,11631,15368
Indiana,17671,17232,18363,19689,18501,18389,18694,19161,17086,16021,12600,12249,12005,11172,5767,6644
Iowa,6565,5706,5592,4376,4939,4709,4877,5159,5153,5120,5541,5619,5342,6331,3657,3463
Kansas,5063,4849,4506,4816,4962,4954,5060,5220,5135,5884,6442,6453,6506,5871,3244,3072
Kentucky,14051,15359,14273,14033,14674,15479,15399,15834,18385,19356,20111,21239,20152,19407,12402,13357
Louisiana,15067,14548,15854,14940,17191,16161,17325,16770,16376,15746,15877,16337,15646,16040,9593,12025
Maine,609,1111,756,856,1007,921,846,929,774,845,657,960,892,892,433,562
Maryland,10295,10716,10396,9959,9828,9811,9396,9223,9223,9837,8843,8243,7661,7171,3047,4110
Massachusetts,2686,2670,2988,2789,2806,2856,2635,2567,2526,2214,2059,2141,1983,1950,924,1153
Michigan,14643,13330,12071,14955,15668,13165,13888,14417,13834,12982,12573,12013,11307,10761,6038,7069
Minnesota,7253,7856,7555,7361,6989,7214,7412,7687,7866,8057,8027,8195,7317,6894,3949,4235
Mississippi,9918,9749,7908,8348,8381,8410,8559,8105,6570,6461,7510,7553,7439,7284,5051,5936
Missouri,18429,18300,18611,18216,17740,17979,18216,18983,19000,18208,18426,18551,17299,14385,11722,12719
Montana,2304,2055,2253,2295,2263,2063,2020,2382,2448,2394,2666,2644,2772,2428,1791,1894
Nebraska,1939,2076,2059,2101,2232,2410,2761,2922,2705,2283,2310,2436,2385,2495,2080,2220
Nevada,6108,6375,4610,5409,5554,5545,4929,5855,5876,6368,6059,5873,6334,5805,4311,3941
New Hampshire,1312,1290,1258,1416,1384,1616,1696,1659,1611,1578,1538,1338,1327,1292,884,863
New Jersey,13980,13791,12984,12251,12409,10110,9976,9802,9257,9028,8837,8611,7808,7216,3845,4381
New Mexico,4337,4146,4092,5650,4135,3491,3580,3567,3798,3994,3615,3848,3585,3122,2380,2364
New York,25710,26291,25302,24058,23377,23257,23065,22740,21572,20667,21081,20421,18954,17587,6977,8612
North Carolina,10594,10834,11825,12171,11964,11523,12098,14077,16016,16319,16009,18242,17251,16554,11965,12833
North Dakota,1101,1028,1085,1042,1008,950,1160,1222,1142,1569,1590,1570,1527,1419,863,1381
Ohio,31866,30808,29510,26864,24599,22150,21529,21998,22189,22473,22792,21602,20727,20316,14749,16837
Oklahoma,8508,8795,7935,8120,8021,7456,7697,8019,10095,9734,8778,10228,9318,7491,4682,5799
Oregon,5484,5331,5395,5950,5455,5313,5376,5532,5330,5212,5020,5566,5580,5580,3554,4161
Pennsylvania,17106,17666,17493,16914,16662,18175,18492,20455,20084,20113,20326,19297,17954,16858,9824,12164
Rhode Island,876,1120,1090,959,938,850,868,810,821,623,767,572,613,655,393,478
South Carolina,9597,9912,9650,9352,8049,7323,6802,6431,6283,6156,6688,6017,5769,5859,3347,3799
South Dakota,2429,3227,3116,3170,2843,2820,1986,1842,2266,2623,2891,3896,4116,4434,3300,3803
Tennessee,13655,14535,14196,13783,13806,14283,13922,13803,14987,13536,12898,11541,12726,12965,8598,9347
Texas,71927,72525,73490,71489,73965,73444,75378,76488,75571,74851,77385,76877,78741,74393,46592,55651
Utah,3532,3466,3394,3583,3377,3258,3142,3094,2922,2803,3293,4047,3733,4041,2930,3613
Vermont,2340,2362,2273,2106,2079,2044,1912,1858,1715,1715,1715,1737,2469,2560,952,751
Virginia,12834,13973,13625,12631,12221,11140,11727,11636,12237,11762,12163,12163,11657,12018,11866,9892
Washington,15540,16478,15070,17074,17084,16335,18232,21426,20797,21824,25055,25483,24829,24154,14113,11556
West Virginia,2830,3333,3127,3204,3288,3404,3525,3573,3544,3879,3584,3590,3831,4169,2673,2864
Wisconsin,8703,8592,7571,7245,7107,6411,6200,7343,6134,6442,6600,6865,7021,5252,2895,4763
Wyoming,837,746,779,815,829,857,907,1004,937,942,997,1069,1062,952,726,811
