"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0204.csv",,,,,,,,
"Table 4:  Sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2001, and 2002",,,,,,,,
"Report Title:  Prisoners in 2002 NCJ 200248",,,,,,,,
"Data source:  National Prisoner Statistics-1B",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Authors:  Paige Harrison and Allen Beck",,,,,,,,
"Date of version:  07/27/03",,,,,,,,
,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 1995, 2001, and 2002",,,,,,,,
,,,,,,,,
,,"Sentenced prisoners",,,,,,
"Region and jurisdiction",2002,2001,1995,"Percent change, 1995-2002",,"Percent change, 2001-2002",,"Incarceration rate, 2002/a"
"U.S. Total",1380370,1345217,1085022,27.2,"%",2.6,"%",476
,,,,,,,,
"Federal",143040,136509,83663,71.0,,4.8,,49
"State",1237330,1208708,1001359,23.6,,2.4,,427
,,,,,,,,
"Northeast",165783,163635,155030,6.9,"%",1.3,"%",304
"Connecticut",14082,13276,10419,35.2,,6.1,,405
"Maine",1817,1641,1326,37.0,,10.7,,141
"Massachusetts/b",8947,9355,10427,-14.2,,-4.4,,234
"New Hampshire",2451,2392,2015,21.6,,2.5,,192
"New Jersey/c",27891,28142,27066,3.0,,-0.9,,322
"New York",67065,67533,68486,-2.1,,-0.7,,346
"Pennsylvania",40164,38057,32410,23.9,,5.5,,325
"Rhode Island",2045,1926,1833,11.6,,6.2,,191
"Vermont",1321,1313,1048,26.0,,0.6,,214
,,,,,,,,
"Midwest",244226,239948,192177,27.1,"%",1.8,"%",373
"Illinois/c",42693,44348,37658,13.4,,-3.7,,336
"Indiana",21542,20883,16046,34.3,,3.2,,348
"Iowa/c",8398,7962,5906,42.2,,5.5,,284
"Kansas/c",8935,8577,7054,26.7,,4.2,,327
"Michigan",50591,48849,41112,23.1,,3.6,,501
"Minnesota",7129,6606,4846,47.1,,7.9,,141
"Missouri",30080,28736,19134,57.2,,4.7,,529
"Nebraska",3972,3865,3006,32.1,,2.8,,228
"North Dakota",1025,1027,544,88.4,,-0.2,,161
"Ohio/c",45646,45281,44663,2.2,,0.8,,398
"South Dakota",2891,2781,1871,54.5,,4.0,,378
"Wisconsin",21324,21033,10337," --  ",,1.4,,391
,,,,,,,,
"South",552795,539774,446491,23.8,"%",2.4,"%",536
"Alabama",27532,26138,20130,36.8,,5.3,,612
"Arkansas",12999,12496,8520,52.6,,4.0,,479
"Delaware",3659,4033,3014,21.4,,-9.3,,453
"Florida",75204,72404,63866,17.8,,3.9,,450
"Georgia",47424,45904,34168,38.8,,3.3,,552
"Kentucky",15572,15104,12060,29.1,,3.1,,380
"Louisiana",35736,35810,25195,41.8,,-0.2,,794
"Maryland",23274,22842,20450,13.8,,1.9,,425
"Mississippi",21397,20476,12251,74.7,,4.5,,743
"North Carolina",28772,27628,27914,3.1,,4.1,,345
"Oklahoma/c",23385,22780,18151,28.8,,2.7,,667
"South Carolina",22837,21606,19015,20.1,,5.7,,555
"Tennessee/c",24989,23671,15206,64.3,,5.6,,430
"Texac",151782,153056,127766,18.8,,-0.8,,692
"Virginia",33729,31662,27260,23.7,,6.5,,460
"West Virginia",4504,4164,2483,81.4,,8.2,,250
,,,,,,,,
"West",274526,265351,207661,32.2,"%",3.5,"%",415
"Alaska",2577,2196,2042,26.2,,17.3,,396
"Arizona",28008,26463,20291,38.0,,5.8,,513
"California",160329,157295,131745,21.7,,1.9,,452
"Colorado",18833,17448,11063,70.2,,7.9,,415
"Hawaii",3840,3670,2590,48.3,,4.6,,308
"Idaho",6204,5984,3328,86.4,,3.7,,461
"Montana",3290,3328,1999,64.6,,-1.1,,361
"Nevada",10478,10233,7713,35.8,,2.4,,483
"New Mexico",5772,5408,3925,47.1,,6.7,,309
"Oregon",12075,11368,6515,85.3,,6.2,,342
"Utah",5461,5254,3447,58.4,,3.9,,233
"Washington",15922,15020,11608,37.2,,6.0,,261
"Wyoming",1737,1684,1395,24.5,,3.1,,348
,,,,,,,,
" -- Not calculated. ",,,,,,,,
"a/Prisoners with sentences of more than 1 year per 100,000 residents. ",,,,,,,,
"b/The incarceration rate includes an estimated 6,200 inmates sentenced to more than 1 year but held in local jails or houses of corrections. ",,,,,,,,
"c/Includes some inmates sentenced to 1 year or less.",,,,,,,,
