Bureau of Justice Statistics,,,,,,,,,,,
Filename: p06at06,,,,,,,,,,,
"Appendix table 6: Number of sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 2000, 2005, and 2006",,,,,,,,,,,
Report title: Prisoners in 2006 NCJ 219416,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1B",,,,,,,,,,,
"Author(s): William J. Sabol, Heather Couture, and Paige M. Harrison",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 11/28/07,,,,,,,,,,,

"Appendix table 6. Number of sentenced prisoners under the jurisdiction of State or Federal correctional authorities, yearend 2000, 2005, and 2006",,,,,,,,,,,
,,,,,"Change, 2000-2005",,,"Change, 2005-2006",,,
Region and juridiction,,12/31/2000,12/31/2005,12/31/2006,Average annual change,Percent change/a,,Annual change,Percent change,,"Incarceration rate, 2006/b"
U.S. Total,,"1,331,278","1,462,866","1,502,179","26,318",1.9,%,"39,313",2.7,%,501
,Federal,"125,044","166,173","173,533","8,226",6.6,,"7,360",4.4,,58
,State,"1,206,234","1,296,693","1,328,646","18,092",1.5,,"31,953",2.5,,445
Northeast,,"166,632","162,383","166,078",-850,-0.5,%,"3,695",2.3,%,303
,Connecticut/c,"13,155","13,121","13,746",-7,-0.1,,625,4.8,,392
,Maine,"1,635","1,905","1,997",54,3.1,,92,4.8,,151
,Massachusetts/d,"9,479","9,081","9,472",-80,-0.9,,391,4.3,,243
,New Hampshire,"2,257","2,520","2,737",53,2.2,,217,8.6,,207
,New Jersey/e,"29,784","27,359","27,371",-485,-1.7,,12,0,,313
,New York,"70,199","62,485","62,974","-1,543",-2.3,,489,0.8,,326
,Pennsylvania,"36,844","42,345","43,998","1,100",2.8,,"1,653",3.9,,353
,Rhode Island/c,"1,966","2,025","2,149",12,0.6,,124,6.1,,202
,Vermont/c,"1,313","1,542","1,634",46,3.3,,92,6,,262
Midwest,,"236,458","253,662","259,610","3,441",1.4,%,"5,948",2.3,%,391
,Illinois/e,"45,281","44,919","45,106",-72,-0.2,,187,0.4,,350
,Indiana,"19,811","24,416","26,055",921,4.3,,"1,639",6.7,,411
,"Iowa/e,f","7,955","8,737","8,838",156,1.9,,101,1.2,,296
,Kansas/e,"8,344","9,068","8,816",145,1.7,,-252,-2.8,,318
