Bureau of Justice Statistics,,,,,,,,
Filename: p07at03.csv,,,,,,,,
"Appendix table 3. Number of sentenced prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006 and 2007",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Appendix table 3. Number of sentenced prisoners under jurisdiction of state or federal correctional authorities, December 31, 2000, 2006 and 2007",,,,,,,,
,,Number of prisoners,,,Average annual change,,Percent change,
Region and jurisdiction,,2000,2006,2007,2000-2006,,2006-2007,
U.S. Total/a,,"1,331,278","1,504,660","1,532,817",2.1,%,1.9,%
,Federal,"125,044","173,533","179,204",5.6,,3.3,
,State/a,"1,206,234","1,331,127","1,353,613",1.7,,1.7,
Northeast,,"166,632","166,078","167,667",-0.1,%,1,%
,Connecticut/b,"13,155","13,746","14,397",0.7,,4.7,
,Maine,"1,635","1,997","2,093",3.4,,4.8,
,Massachusetts,"9,479","9,472","9,699",0,,2.4,
,New Hampshire,"2,257","2,737","2,930",3.3,,7.1,
,New Jersey/c,"29,784","27,371","26,827",-1.4,,-2,
,New York,"70,199","62,974","62,177",-1.8,,-1.3,
,Pennsylvania,"36,844","43,998","45,446",3,,3.3,
,Rhode Island/b,"1,966","2,149","2,481",1.5,,15.4,
,Vermont/b,"1,313","1,634","1,617",3.7,,-1,
Midwest,,"236,458","260,347","261,391",1.6,%,0.4,%
,Illinois,"45,281","45,106","45,215",-0.1,,0.2,
,Indiana,"19,811","26,055","27,114",4.7,,4.1,
,"Iowa/c,d","7,955","8,838","8,732",1.8,,-1.2,
,Kansas/c,"8,344","8,816","8,696",0.9,,-1.4,
,Michigan,"47,718","51,577","50,233",1.3,,-2.6,
,Minnesota,"6,238","9,108","9,468",6.5,,4,
,Missouri,"27,519","30,146","29,844",1.5,,-1,
,Nebraska,"3,816","4,204","4,329",1.6,,3,
,North Dakota,994,"1,363","1,416",5.4,,3.9,
,Ohio/c,"45,833","49,166","50,731",1.2,,3.2,
,South Dakota,"2,613","3,350","3,306",4.2,,-1.3,
,Wisconsin,"20,336","22,618","22,307",1.8,,-1.4,
South,,"538,997","597,828","615,535",1.7,%,3,%
,Alabama,"26,034","27,526","28,605",0.9,,3.9,
,Arkansas,"11,851","13,713","14,310",2.5,,4.4,
,Delaware/b,"3,937","4,195","4,201",1.1,,0.1,
,District of Columbia,"5,008",~,~,:,,:,
,Florida,"71,318","92,874","98,219",4.5,,5.8,
,Georgia/d,"44,141","52,781","54,232",3,,2.7,
,Kentucky,"14,919","19,514","21,823",4.6,,11.8,
,Louisiana,"35,207","36,376","37,341",0.5,,2.7,
,Maryland,"22,490","22,316","22,780",-0.1,,2.1,
,Mississippi,"19,239","19,219","21,502",0,,11.9,
,North Carolina,"27,043","32,219","33,016",3,,2.5,
,Oklahoma,"23,181","23,889","24,197",0.5,,1.3,
,South Carolina,"21,017","22,861","23,314",1.4,,2,
,Tennessee,"22,166","25,745","26,267",2.5,,2,
,Texas,"158,008","162,193","161,695",0.4,,-0.3,
,Virginia,"29,643","36,688","37,984",3.6,,3.5,
,West Virginia,"3,795","5,719","6,049",7.1,,5.8,
West,,"264,147","306,874","309,020",2.5,%,0.7,%
,Alaska/b,"2,128","3,116","3,072",6.6,,-1.4,
,Arizona/d,"25,412","33,557","35,490",4.7,,5.8,
,California,"160,412","173,942","172,856",1.4,,-0.6,
,Colorado/c,"16,833","22,481","22,841",4.9,,1.6,
,Hawaii/b,"3,553","4,373","4,367",3.5,,-0.1,
,Idaho,"5,535","7,124","7,319",4.3,,2.7,
,Montana,"3,105","3,563","3,431",2.3,,-3.7,
,Nevada,"10,063","12,753","13,245",4,,3.9
,New Mexico,"4,666","6,361","6,225",5.3,,-2.1
,Oregon/c,"10,553","13,667","13,918",4.4,,1.8
,Utah,"5,541","6,340","6,415",2.3,,1.2
,Washington,"14,666","17,483","17,757",3,,1.6
,Wyoming,"1,680","2,114","2,084",3.9,,-1.4
Note: Sentenced prisoner is defined as a prisoner sentenced to more than 1 year.,,,,,,,
/Not reported. ,,,,,,,
:Not calculated. ,,,,,,,
"~Not applicable. As of December 31,2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,
a/Totals estimated. Illinois did not provide data in 2006 and 2007. Maine and Nevada did not provide data in 2007.,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
c/Includes some inmates sentenced to 1 year or less.,,,,,,,
d/Population based on custody counts.,,,,,,,
