Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p07at04.csv,,,,,,,,,,,,,,,
"Appendix table 4. Number of sentenced prisoners admitted and released from state or federal jurisdiction, by region and jurisdiction, 2000, 2006, 2007",,,,,,,,,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
"Date of version: November 14, 2008",,,,,,,,,,,,,,,

"Appendix table 4. Number of sentenced prisoners admitted and released from state or federal jurisdiction, by region and jurisdiction, 2000, 2006, 2007",,,,,,,,,,,,,,,
,,Admissions,,,,,,,Releases,,,,,,
Region and jurisdiction,,2000,2006,2007,"Average annual change, 2000-2006",,"Percent change, 2006-2007",,2000,2006,2007,"Average annual change, 2000-2006",,"Percent change, 2006-2007",
U.S. Total,,"625,219","749,798","751,593",3.1,%,0,%,"604,858","713,473","725,402",2.8,%,1.7,%
,Federal,"43,732","57,495","53,618",4.7,,-7,,"35,259","47,920","48,411",5.2,,1,
,State,"581,487","692,303","697,975",2.9,,1,,"569,599","665,553","676,991",2.6,,1.7,
Northeast,,"67,765","71,523","73,795",0.9,%,3.2,%,"70,646","67,970","71,968",-0.6,%,5.9,%
,Connecticut,"6,185","6,904","6,982",1.8,,1,,"5,918","6,019","6,056",0.3,,0.6,
,Maine/a,751,609,640,-3.4,,5,,677,501,524,-4.9,,4.6,
,Massachusetts,"2,062","2,686","3,653",4.5,,36,,"2,889","2,254","3,273",-4.1,,45.2,
,New Hampshire,"1,051","1,312","1,290",3.8,,-2,,"1,044","1,187","1,179",2.2,,-0.7,
,New Jersey,"13,653","13,980","13,791",0.4,,-1,,"15,362","13,986","14,358",-1.6,,2.7,
,New York,"27,601","25,710","26,291",-1.2,,2.3,,"28,828","25,079","27,009",-2.3,,7.7,
,Pennsylvania,"11,777","17,106","17,666",6.4,,3,,"11,759","15,648","16,340",4.9,,4.4,
,Rhode Island,"3,701",876,"1,120",:,,:,,"3,223",967,884,:,,:,
,Vermont,984,"2,340","2,362",:,,:,,946,"2,329","2,345",:,,:,
Midwest,,"117,776","155,549","153,906",4.7,%,-1,%,"114,382","150,438","153,616",4.7,%,2.1,%
,Illinois,"29,344",/,/,:,,:,,"28,876",/,/,:,,:,
,Indiana,"11,876","17,671","17,653",6.8,,0,,"11,053","16,410","17,099",6.8,,4.2,
,Iowa,"4,656","6,565","5,706",5.9,,-13,,"4,379","5,834","5,718",4.9,,-2,
,Kansas,"5,002","5,063","4,849",0.2,,-4,,"5,231","5,318","4,966",0.3,,-6.6,
,Michigan,"12,169","14,643","13,330",3.1,,-9,,"10,874","12,641","14,685",2.5,,16.2,
,Minnesota,"4,406","7,253","7,856",8.7,,8,,"4,244","7,591","7,971",10.2,,5,
,Missouri,"14,454","18,429","18,300",4.1,,-1,,"13,346","20,092","19,323",7.1,,-3.8,
,Nebraska,"1,688","1,939","2,076",2.3,,7,,"1,503","2,041","1,952",5.2,,-4.4,
,North Dakota,605,"1,101","1,028",10.5,,-7,,598,"1,039",977,9.6,,-6,
,Ohio,"23,780","31,866","30,808",5,,-3,,"24,793","28,552","29,236",2.4,,2.4,
,South Dakota,"1,400","2,429","3,227",9.6,,33,,"1,327","3,137","3,259",15.4,,3.9,
,Wisconsin,"8,396","8,703","8,592",0.6,,-1,,"8,158","8,749","8,903",1.2,,1.8,
South,,"217,950","255,495","258,223",2.7,%,1,%,"210,777","247,588","246,343",2.7,%,-0.5,%
,Alabama,"6,296","10,039","10,708",8.1,,7,,"7,136","11,283","11,079",7.9,,-1.8,
,Arkansas,"6,941","5,992","6,651",-2.4,,11,,"6,308","5,668","6,045",-1.8,,6.7,
,Delaware,"2,709","1,546","1,899",-8.9,,23,,"2,260","1,470","1,905",-6.9,,29.6,
,Florida/b,"35,683","36,295","33,552",0.3,,-8,,"33,994","35,454","28,705",0.7,,-19,
,Georgia,"17,373","22,347","21,134",4.3,,-5,,"14,797","17,468","19,119",2.8,,9.5,
,Kentucky/a,"8,116","14,051","15,359",9.6,,9,,"7,733","13,381","13,819",9.6,,3.3,
,Louisiana,"15,735","15,067","14,548",-0.7,,-3,,"14,536","14,618","14,984",0.1,,2.5,
,Maryland,"10,327","10,295","10,716",-0.1,,4,,"10,004","10,176","10,123",0.3,,-0.5,
,Mississippi,"5,796","9,918","9,749",9.4,,-2,,"4,940","10,123","8,455",12.7,,-16.5,
,North Carolina,"9,848","10,594","10,834",1.2,,2,,"9,687","9,976","10,074",0.5,,1,
,Oklahoma,"7,426","8,508","8,795",2.3,,3,,"6,628","7,867","8,486",2.9,,7.9,
,South Carolina,"8,460","9,597","9,912",2.1,,3,,"8,676","9,208","9,461",1,,2.7,
,Tennessee,"13,675","13,655","14,535",0,,6,,"13,893","15,298","15,537",1.6,,1.6,
,Texas,"58,197","71,927","72,525",3.6,,1,,"59,776","70,413","73,023",2.8,,3.7,
,Virginia,"9,791","12,834","13,973",4.6,,9,,"9,148","12,794","12,559",5.7,,-1.8,
,West Virginia,"1,577","2,830","3,333",10.2,,18,,"1,261","2,391","2,969",11.3,,24.2,
West,,"177,996","209,736","212,051",2.8,%,1,%,"173,794","199,557","205,064",2.3,%,2.8,%
,Alaska,"2,427","3,065","3,272",4,,7,,"2,599","2,719","3,286",0.8,,20.9,
,Arizona,"9,560","13,954","14,046",6.5,,1,,"9,100","12,209","12,560",5,,2.9,
,California,"129,640","138,523","139,608",1.1,,1,,"129,621","133,905","135,920",0.5,,1.5,
,Colorado,"7,036","10,468","10,959",6.8,,5,,"5,881","9,441","10,604",8.2,,12.3,
,Hawaii,"1,594","1,455","1,514",-1.5,,4,,"1,379","1,500","1,518",1.4,,1.2,
,Idaho,"3,386","4,129","4,055",3.4,,-2,,"2,697","3,808","3,850",5.9,,1.1,
,Montana,"1,202","2,304","2,055",11.5,,-11,,"1,031","2,262","2,176",14,,-3.8,
,Nevada/a,"4,929","6,108","6,375",3.6,,4,,"4,374","4,700","4,904",1.2,,4.3,
,New Mexico,"3,161","4,337","4,146",5.4,,-4,,"3,383","4,274","4,507",4,,5.5
,Oregon,"4,059","5,484","5,331",5.1,,-3,,"3,371","5,138","5,080",7.3,,-1.1
,Utah,"3,270","3,532","3,466",1.3,,-1.9,,"2,897","3,469","3,393",3,,-2.2
,Washington,"7,094","15,540","16,478",14,,6,,"6,764","15,363","16,488",14.7,,7.3
,Wyoming,638,837,746,4.6,,-10.9,,697,769,778,1.7,,1.2
"Note: Totals exclude transfers, escapees, and AWOLs. ",,,,,,,,,,,,,,
:Not calculated. ,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
a/2007 counts were estimated. See Methodology.,,,,,,,,,,,,,,
b/A change in the reporting in 2004 excluded unsentenced prisoners and those sentenced to less than 1 year.,,,,,,,,,,,,,,
