Bureau of Justice Statistics,,,,
Filename: p07at09.csv,,,,
"Appendix table 9. Imprisonment rates of sentenced prisoners under jurisdiction state or federal correctional authorities, by gender, December 31, 2007",,,,
Report title: Prisoners in 2007 NCJ 224280,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 2, 2008",,,,

"Appendix table 9. Imprisonment rates of sentenced prisoners under jurisdiction state or federal correctional authorities, by gender, December 31, 2007",,,,
,,"Imprisonment rate, December 31, 2007/a",,
Region and jurisdiction,,Total,Male,Female
U.S. Total/b,,506,955,69
,Federal,59,112,8
,State/b,447,844,61
Northeast,,306,599,29
,Connecticut/c,410,794,45
,Maine,159,303,21
,Massachusetts/d,246,301,8
,New Hampshire,222,420,29
,New Jersey,308,597,32
,New York,322,635,27
,Pennsylvania,365,710,38
,Rhode Island/c,235,463,21
,Vermont/c,260,495,32
Midwest,,393,743,52
,Illinois,:,:,:
,Indiana,426,791,71
,Iowa/e,291,542,47
,Kansas,312,584,44
,Michigan,499,971,41
,Minnesota,181,341,23
,Missouri,506,948,83
,Nebraska,243,449,41
,North Dakota,221,394,46
,Ohio,442,838,65
,South Dakota,413,736,92
,Wisconsin,397,748,50
South,,556,"1,050",79
,Alabama,615,"1,180",85
,Arkansas,502,949,73
,Delaware/c,482,945,47
,Florida,535,"1,013",73
,Georgia/e,563,"1,069",72
,Kentucky,512,934,107
,Louisiana,865,"1,664",111
,Maryland,404,793,39
,Mississippi,734,"1,385",121
,North Carolina,361,696,41
,Oklahoma,665,"1,211",131
,South Carolina,524,"1,009",64
,Tennessee,424,804,61
,Texas,669,"1,244",97
,Virginia,490,921,74
,West Virginia,333,610,68
West,,438,807,67
,Alaska/c,447,785,82
,Arizona/e,554,"1,009",97
,California,471,880,62
,Colorado,465,829,96
,Hawaii/c,338,594,79
,Idaho,483,854,106
,Montana,356,649,62
,Nevada,509,911,92
,New Mexico,313,580,54
,Oregon,369,686,56
,Utah,239,428,46
,Washington,273,500,46
,Wyoming,394,686,95
: Not calculated. ,,,,
"a/The number of prisoners sentenced to more than 1 year per 100,000 U.S. residents. Based on Census estimates for January 1, 2008.",,,,
b/Totals estimated. Illinois did not provide data. ,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,
"d/The imprisonment rate includes an estimated 6,200 inmates sentenced to more than 1 year, but held in local jails or houses of corrections. ",,,,
e/Population based on custody counts.,,,,
