Bureau of Justice Statistics,,,,,,,,
Filename: p07t02.csv,,,,,,,,
"Table 2. Prisoners under state or federal jurisdiction by region and jurisdiction, December 31, 2007, and averages of the preceding 6 years ",,,,,,,,
Report title: Prisoners in 2007 NCJ 224280,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West and William J. Sabol, Ph.D.",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 2, 2008",,,,,,,,

"Table 2. Prisoners under state or federal jurisdiction by region and jurisdiction, December 31, 2007, and averages of the preceding 6 years ",,,,,,,,
,,Number of prisoners,,,Average annual change,,Percent change,
Region and jurisdiction,,2000,2006,2007,2000-2006,,2006-2007,
U.S. Total,,"1,391,261","1,570,691","1,598,316",2,%,1.8,%
,Federal,"145,416","193,046","199,618",4.8,,3.4,
,State,"1,245,845","1,377,645","1,398,698",1.7,,1.5,
Northeast,,"174,826","177,817","179,107",0.3,%,0.7,%
,Connecticut/a,"18,355","20,566","20,924",1.9,,1.7,
,Maine/b,"1,679","2,120","2,222",4,,:,
,Massachusetts,"10,722","11,032","11,436",0.5,,3.7,
,New Hampshire,"2,257","2,805","2,943",3.7,,4.9,
,New Jersey,"29,784","27,371","26,827",-1.4,,-2,
,New York,"70,199","63,315","62,623",-1.7,,-1.1,
,Pennsylvania,"36,847","44,397","45,969",3.2,,3.5,
,Rhode Island/a,"3,286","3,996","4,018",3.3,,0.6,
,Vermont/a,"1,697","2,215","2,145",4.5,,-3.2,
Midwest,,"237,378","261,413","263,039",1.6,%,0.6,%
,Illinois/b,"45,281","45,106","45,215",-0.1,,:,
,Indiana,"20,125","26,091","27,132",4.4,,4,
,Iowa/c,"7,955","8,838","8,732",1.8,,-1.2,
,Kansas,"8,344","8,816","8,696",0.9,,-1.4,
,Michigan,"47,718","51,577","50,233",1.3,,-2.6,
,Minnesota,"6,238","9,108","9,468",6.5,,4,
,Missouri,"27,543","30,167","29,857",1.5,,-1,
,Nebraska,"3,895","4,407","4,505",2.1,,2.2,
,North Dakota,"1,076","1,363","1,416",4,,3.9,
,Ohio,"45,833","49,166","50,731",1.2,,3.2,
,South Dakota,"2,616","3,359","3,311",4.3,,-1.4,
,Wisconsin,"20,754","23,415","23,743",2,,1.4,
South,,"561,214","623,543","639,578",1.8,%,2.6,%
,Alabama,"26,332","28,241","29,412",1.2,,4.1,
,Arkansas,"11,915","13,729","14,314",2.4,,4.3,
,Delaware/a,"6,921","7,186","7,276",0.6,,1.3,
,District of Columbia,"7,456",~,~,:,,:,
,Florida,"71,319","92,969","98,219",4.5,,5.6,
,Georgia/c,"44,232","52,792","54,256",3,,2.8,
,Kentucky,"14,919","20,000","22,457",5,,12.3,
,Louisiana,"35,207","37,012","37,540",0.8,,1.4,
,Maryland,"23,538","22,945","23,433",-0.4,,2.1,
,Mississippi,"20,241","21,068","22,431",0.7,,6.5,
,North Carolina,"31,266","37,460","37,970",3.1,,1.4,
,Oklahoma,"23,181","26,243","25,849",2.1,,-1.5,
,South Carolina,"21,778","23,616","24,239",1.4,,2.6,
,Tennessee,"22,166","25,745","26,267",2.5,,2,
,Texas,"166,719","172,116","171,790",0.5,,-0.2,
,Virginia,"30,168","36,688","38,069",3.3,,3.8,
,West Virginia,"3,856","5,733","6,056",6.8,,5.6,
West,,"272,427","314,872","316,974",2.4,%,0.7,%
,Alaska/a,"4,173","5,069","5,167",3.3,,1.9,
,Arizona/c,"26,510","35,801","37,746",5.1,,5.4,
,California,"163,001","175,512","174,282",1.2,,-0.7,
,Colorado,"16,833","22,481","22,841",4.9,,1.6,
,Hawaii/a,"5,053","5,967","5,978",2.8,,0.2,
,Idaho,"5,535","7,124","7,319",4.3,,2.7,
,Montana,"3,105","3,563","3,462",2.3,,-2.8,
,Nevada/b,"10,063","12,901","13,400",4.2,,:
,New Mexico,"5,342","6,639","6,466",3.7,,-2.6
,Oregon,"10,580","13,707","13,948",4.4,,1.8
,Utah,"5,637","6,433","6,509",2.2,,1.2
,Washington,"14,915","17,561","17,772",2.8,,1.2
,Wyoming,"1,680","2,114","2,084",3.9,,-1.4
:Not calculated.,,,,,,,
"~Not applicable. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
b/Estimates only. Data for 2007 were not available at time of publication. ,,,,,,,
c/Population based on custody counts.,,,,,,,
