Bureau of Justice Statistics,,,,,,,,
Filename: p09at04.csv,,,,,,,,
"Appendix table 4: Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,
 ,,,,,,,,
"Appendix table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,
,,Number of sentenced prisoners,,,,,,
Region and jurisdiction,,12/31/2000,12/31/2008,12/31/2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. total,,"1,331,278","1,547,742","1,548,721",1.9,%,0.1,%
,Federal,"125,044","182,333","187,886",4.8,,3,
,State,"1,206,234","1,365,409","1,360,835",1.6,,-0.3,
Northeast,,"166,632","168,223","167,344",0.1,%,-0.5,
,Connecticut/a,"13,155","14,271","13,466",1,,-5.6,
,Maine,"1,635","1,985","1,980",2.5,,-0.3,
,Massachusetts,"9,479","10,166","10,070",0.9,,-0.9,
,New Hampshire,"2,257","2,702","2,731",2.3,,1.1,
,New Jersey/b,"29,784","25,953","25,382",-1.7,,-2.2,
,New York,"70,199","59,959","58,455",-2,,-2.5,
,Pennsylvania,"36,844","49,047","51,316",3.6,,4.6,
,Rhode Island/a,"1,966","2,522","2,220",3.2,,-12,
,Vermont/a,"1,313","1,618","1,724",2.6,,6.6,
Midwest,,"236,458","263,241","259,252",1.4,%,-1.5,%
,Illinois/b,"45,281","45,474","45,161",0.1,,-0.7,
,Indiana,"19,811","28,301","28,788",4.6,,1.7,
,Iowa/b,"7,955","8,766","8,813",1.2,,0.5,
,Kansas/b,"8,344","8,539","8,641",0.3,,1.2,
,Michigan,"47,718","48,738","45,478",0.3,,-6.7,
,Minnesota,"6,238","9,910","9,986",6,,0.8,
,Missouri,"27,519","30,175","30,554",1.2,,1.3,
,Nebraska,"3,816","4,424","4,392",1.9,,-0.7,
,North Dakota,994,"1,452","1,486",4.9,,2.3,
,Ohio/b,"45,833","51,686","51,606",1.5,,-0.2,
,South Dakota,"2,613","3,333","3,430",3.1,,2.9,
,Wisconsin,"20,336","22,443","20,917",1.2,,-6.8,
South,,"538,997","623,198","625,121",1.8,%,0.3,%
,Alabama,"26,034","29,694","30,723",1.7,,3.5,
,Arkansas,"11,851","14,660","15,144",2.7,,3.3,
,Delaware/a,"3,937","4,067","3,971",0.4,,-2.4,
,District of Columbia,"5,008",~,~,:,,:,
,Florida,"71,318","102,388","103,915",4.6,,1.5,
,Georgia/c,"44,141","52,705","52,012",2.2,,-1.3,
,Kentucky,"14,919","21,059","20,672",4.4,,-1.8,
,Louisiana,"35,207","37,804","39,780",0.9,,5.2,
,Maryland,"22,490","22,749","21,868",0.1,,-3.9,
,Mississippi,"19,239","21,698","20,768",1.5,,-4.3,
,North Carolina,"27,043","34,229","34,863",3,,1.9,
,Oklahoma,"23,181","24,210","24,396",0.5,,0.8,
,South Carolina,"21,017","23,456","23,486",1.4,,0.1,
,Tennessee,"22,166","27,228","26,965",2.6,,-1,
,Texas,"158,008","163,016","162,186",0.4,,-0.5,
,Virginia,"29,643","38,216","38,059",3.2,,-0.4,
,West Virginia,"3,795","6,019","6,313",5.9,,4.9,
West,,"264,147","310,747","309,118",2.1,%,-0.5,%
,Alaska/a,"2,128","2,966","2,508",4.2,,-15.4,
,Arizona/c,"25,412","37,188","38,529",4.9,,3.6,
,California,"160,412","172,583","170,131",0.9,,-1.4,
,Colorado/b,"16,833","23,274","22,795",4.1,,-2.1,
,Hawaii/a,"3,553","4,304","4,119",2.4,,-4.3,
,Idaho,"5,535","7,290","7,400",3.5,,1.5,
,Montana,"3,105","3,517","3,605",1.6,,2.5,
,Nevada,"10,063","12,743","12,482",3,,-2,
,New Mexico,"4,666","6,315","6,391",3.9,,1.2,
,Oregon/b,"10,553","14,131","14,365",3.7,,1.7,
,Utah,"5,541","6,426","6,519",1.9,,1.4,
,Washington,"14,666","17,926","18,199",2.5,%,1.5,%
,Wyoming,"1,680","2,084","2,075",2.7,,-0.4,
Note: Totals based on prisoners with a sentence of more than 1 year.,,,,,,,,
"~Not applicable. As of December 31, 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,
:Not calculated.,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations. ,,,,,,,,
b/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,
c/Prison population based on custody counts.  ,,,,,,,,
