Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p09at10.csv,,,,,,,,,,,,,,,,
"Appendix table 10: Number of sentenced prisoners admitted into and released from state or federal jurisdiction, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,,,,,,,,,
Report title: Prisoners in 2009 NCJ 231675,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,,,
"Authors: Heather C. West, Ph.D., William J. Sabol, Ph.D., and Sarah J. Greenman",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
"Date of version: December 21, 2010",,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,
"Appendix table 10. Number of sentenced prisoners admitted into and released from state or federal jurisdiction, by jurisdiction, December 31, 2000, 2008, and 2009",,,,,,,,,,,,,,,,
,,Admissions,,,,,,,,Releases,,,,,,
Region and jurisdiction,,2000,2008,2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",,,2000,2008,2009,"Average annual change, 2000-2008",,"Percent change, 2008-2009",
U.S. Total,,"625,219","744,616","730,860",2.2,%,-1.8,%,,"604,858","735,454","729,295",2.5,%,-0.8,%
,Federal,"43,732","53,662","56,153",2.6,,4.6,,,"35,259","52,348","50,720",5.1,,-3.1,
,State,"581,487","690,954","674,707",2.2,,-2.4,,,"569,599","683,106","678,575",2.3,,-0.7,
Northeast,,"67,765","70,647","67,642",0.5,%,-4.3,%,,"70,646","71,413","68,491",0.1,%,-4.1,%
,Connecticut,"6,185","6,503","6,293",0.6,,-3.2,,,"5,918","6,404","6,850",1,,7,
,Maine,751,756,856,0.1,,13.2,,,677,720,"1,141",0.8,,58.5,
,Massachusetts,"2,062","2,988","2,789",4.7,,-6.7,,,"2,889","2,667","2,850",-1,,6.9,
,New Hampshire,"1,051","1,258","1,416",2.3,,12.6,,,"1,044","1,310","1,564",2.9,,19.4,
,New Jersey,"13,653","12,984","12,251",-0.6,,-5.6,,,"15,362","13,885","12,860",-1.3,,-7.4,
,New York,"27,601","25,302","24,058",-1.1,,-4.9,,,"28,828","27,482","25,481",-0.6,,-7.3,
,Pennsylvania,"11,777","17,493","16,914",5.1,,-3.3,,,"11,759","15,618","14,630",3.6,,-6.3,
,Rhode Island,"3,701","1,090",959,:,,-12,,,"3,223","1,086","1,246",:,,14.7,
,Vermont,984,"2,273","2,106",:,,-7.3,,,946,"2,241","1,973",:,,-12,
Midwest,,"117,776","146,164","147,553",2.7,%,1,%,,"114,382","148,780","153,082",3.3,%,2.9,%
,Illinois,"29,344","36,125","37,718",2.6,,4.4,,,"28,876","35,780","38,034",2.7,,6.3,
,Indiana,"11,876","18,363","19,689",5.6,,7.2,,,"11,053","18,308","19,699",6.5,,7.6,
,Iowa,"4,656","5,592","4,376",2.3,,-21.7,,,"4,379","5,557","4,648",3,,-16.4,
,Kansas,"5,002","4,506","4,816",-1.3,,6.9,,,"5,231","4,655","4,721",-1.4,,1.4,
,Michigan,"12,169","12,071","14,955",-0.1,,23.9,,,"10,874","13,621","18,197",2.9,,33.6,
,Minnesota,"4,406","7,555","7,361",7,,-2.6,,,"4,244","7,936","7,777",8.1,,-2,
,Missouri,"14,454","18,611","18,216",3.2,,-2.1,,,"13,346","18,864","18,097",4.4,,-4.1,
,Nebraska,"1,688","2,059","2,101",2.5,,2,,,"1,503","1,963","2,107",3.4,,7.3,
,North Dakota,605,"1,085","1,042",7.6,,-4,,,598,"1,051","1,003",7.3,,-4.6,
,Ohio,"23,780","29,510","26,864",2.7,,-9,,,"24,793","28,552","26,949",1.8,,-5.6,
,South Dakota,"1,400","3,116","3,170",10.5,,1.7,,,"1,327","3,102","3,079",11.2,,-0.7,
,Wisconsin,"8,396","7,571","7,245",-1.3,,-4.3,,,"8,158","9,391","8,771",1.8,,-6.6,
South,,"217,950","261,312","255,119",2.3,%,-2.4,%,,"210,777","257,065","255,959",2.5,%,-0.4,%
,Alabama,"6,296","11,037","13,093",7.3,,18.6,,,"7,136","11,556","12,231",6.2,,5.8,
,Arkansas,"6,941","7,017","7,383",0.1,,5.2,,,"6,308","6,610","6,990",0.6,,5.7,
,Delaware,"2,709","1,494","1,550",-7.2,,3.7,,,"2,260","1,617","1,697",-4.1,,4.9,
,Florida,"35,683","40,860","38,050",1.7,,-6.9,,,"33,994","37,277","37,167",1.2,,-0.3,
,Georgia,"17,373","18,625","17,600",0.9,,-5.5,,,"14,797","19,463","16,161",3.5,,-17,
,Kentucky,"8,116","14,273","14,033",7.3,,-1.7,,,"7,733","15,413","14,138",9,,-8.3,
,Louisiana,"15,735","15,854","14,940",0.1,,-5.8,,,"14,536","14,991","14,924",0.4,,-0.4,
,Maryland,"10,327","10,396","9,959",0.1,,-4.2,,,"10,004","10,383","10,807",0.5,,4.1,
,Mississippi,"5,796","7,908","8,239",4,,4.2,,,"4,940","7,817","9,270",5.9,,18.6,
,North Carolina,"9,848","11,825","11,693",2.3,,-1.1,,,"9,687","10,615","11,056",1.2,,4.2,
,Oklahoma,"7,426","7,935","8,120",0.8,,2.3,,,"6,628","7,915","8,004",2.2,,1.1,
,South Carolina,"8,460","9,650","9,352",1.7,,-3.1,,,"8,676","9,506","9,321",1.1,,-1.9,
,Tennessee,"13,675","14,196","13,783",0.5,,-2.9,,,"13,893","15,414","15,762",1.3,,2.3,
,Texas,"58,197","73,490","71,489",3,,-2.7,,,"59,776","72,168","72,320",2.4,,0.2,
,Virginia,"9,791","13,625","12,631",4.2,,-7.3,,,"9,148","13,194","13,168",4.7,,-0.2,
,West Virginia,"1,577","3,127","3,204",8.9,,2.5,,,"1,261","3,126","2,943",12,,-5.9,
West,,"177,996","212,831","204,393",2.3,%,-4,%,,"173,794","205,848","201,043",2.1,%,-2.3,%
,Alaska,"2,427","4,857","2,761",9.1,,-43.2,,,"2,599","3,741","3,196",4.7,,-14.6,
,Arizona,"9,560","14,867","14,526",5.7,,-2.3,,,"9,100","13,192","13,854",4.8,,5,
,California,"129,640","140,827","129,705",1,,-7.9,,,"129,621","136,925","128,869",0.7,,-5.9,
,Colorado,"7,036","11,089","11,054",5.9,,-0.3,,,"5,881","10,616","10,858",7.7,,2.3,
,Hawaii,"1,594","1,731","1,714",1,,-1,,,"1,379","1,795","1,915",3.4,,6.7,
,Idaho,"3,386","3,867","3,857",1.7,,-0.3,,,"2,697","3,891","3,743",4.7,,-3.8,
,Montana,"1,202","2,253","2,295",8.2,,1.9,,,"1,031","2,117","2,212",9.4,,4.5,
,Nevada,"4,929","4,610","5,409",-0.8,,17.3,,,"4,374","5,278","5,967",2.4,,13.1,
,New Mexico,"3,161","4,092","5,650",3.3,,38.1,,,"3,383","4,013","3,650",2.2,,-9,
,Oregon,"4,059","5,395","5,950",3.6,,10.3,,,"3,371","5,055","5,422",5.2,,7.3,
,Utah,"3,270","3,394","3,583",0.5,,5.6,,,"2,897","3,400","3,498",2,,2.9,
,Washington,"7,094","15,070","17,074",9.9,,13.3,,,"6,764","15,061","17,035",10.5,,13.1,
,Wyoming,638,779,815,2.5,,4.6,,,697,764,824,1.2,,7.9,
"Note: Totals based on prisoners with a sentence of more than 1 year. Totals exclude escapees, AWOLS, and transfers to and from other jurisdictions. See Methodology.",,,,,,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,,,,,,
