Bureau of Justice Statistics,,,,,,,,,,,
Filename: p10at04.csv,,,,,,,,,,,
"Appendix Table 4. Sentenced prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 01/10/2012,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 4. Sentenced prisoners under the jurisdiction of state and federal correctional authorities, by jurisdiction, December 31, 2000, 2009, and 2010",,,,,,,,,,,
,,Number of sentenced prisoners,,,"Average annual  change, 2000–2009",,"Percent change, 2009–2010",,,,
Region and jurisdiction,,2000,2009,2010,,,,,,,
U.S. total,,"1,331,278","1,553,703","1,550,241",1.7,%,-0.2,%,,,
,Federal,"125,044","187,886","190,641",4.6,,1.5,,,, 
,State,"1,206,234","1,365,817","1,359,600",1.4,,-0.5,,,, 
Northeast,,"166,632","167,344","164,271",0,%,-1.8,%,,,
,Connecticut/a,"13,155","13,466","13,308",0.3,,-1.2,,,, 
,Maine,"1,635","1,980","1,942",2.2,,-1.9,,,, 
,Massachusetts/b,"9,479","10,070","9,982",0.7,,-0.9,,,, 
,New Hampshire,"2,257","2,731","2,761",2.1,,1.1,,,, 
,New Jersey/c,"29,784","25,382","25,007",-1.8,,-1.5,,,, 
,New York,"70,199","58,455","56,461",-2,,-3.4,,,, 
,Pennsylvania,"36,844","51,316","51,075",3.7,,-0.5,,,, 
,Rhode Island/a,"1,966","2,220","2,086",1.4,,-6,,,, 
,Vermont/a,"1,313","1,724","1,649",3.1,,-4.4,,,, 
Midwest,,"236,458","260,667","261,332",1.1,%,0.3,%,,,
,Illinois/c,"45,281","45,161","48,418",0,,7.2,,,, 
,Indiana,"19,811","28,788","28,012",4.2,,-2.7,,,, 
,Iowa/d,"7,955","8,813","9,388",1.1,,6.5,,,, 
,Kansas/d,"8,344","8,641","9,051",0.4,,4.7,,,, 
,Michigan,"47,718","45,478","44,113",-0.5,,-3,,,, 
,Minnesota,"6,238","9,986","9,796",5.4,,-1.9,,,, 
,Missouri,"27,519","30,554","30,614",1.2,,0.2,,,, 
,Nebraska,"3,816","4,392","4,498",1.6,,2.4,,,, 
,North Dakota,994,"1,486","1,487",4.6,,0.1,,,, 
,Ohio/d,"45,833","51,606","51,712",1.3,,0.2,,,, 
,South Dakota,"2,613","3,430","3,431",3.1,,0,,,, 
,Wisconsin/b,"20,336","22,332","20,812",1,,-6.8,,,, 
South,,"538,997","628,754","630,771",1.7,%,0.3,%,,,
,Alabama,"26,034","30,723","30,739",1.9,,0.1,,,, 
,Arkansas,"11,851","15,144","16,147",2.8,,6.6,,,, 
,Delaware/a,"3,937","3,971","3,961",0.1,,-0.3,,,, 
,District of Columbia,"5,008",~,~, ~ ,,~,,,, 
,Florida,"71,318","103,915","104,306",4.3,,0.4,,,, 
,Georgia,"44,141","55,519","54,669",2.6,,-1.5,,,, 
,Kentucky,"14,919","20,672","19,937",3.7,,-3.6,,,, 
,Louisiana,"35,207","39,780","39,444",1.4,,-0.8,,,, 
,Maryland,"22,490","21,868","22,275",-0.3,,1.9,,,, 
,Mississippi,"19,239","20,768","20,366",0.9,,-1.9,,,, 
,North Carolina,"27,043","34,989","35,436",2.9,,1.3,,,, 
,Oklahoma,"23,181","24,396","24,514",0.6,,0.5,,,, 
,South Carolina,"21,017","23,486","22,822",1.2,,-2.8,,,, 
,Tennessee,"22,166","26,965","27,451",2.2,,1.8,,,, 
,Texas/b,"158,008","162,186","164,652",0.3,,1.5,,,, 
,Virginia,"29,643","38,059","37,410",2.8,,-1.7,,,, 
,West Virginia,"3,795","6,313","6,642",5.8,,5.2,,,, 
West,,"264,147","309,052","303,226",1.8,%,-1.9,%,,,
,Alaska/a,"2,128","2,508","2,429",1.8,,-3.1,,,, 
,Arizona/e,"25,412","38,529","38,423",4.7,,-0.3,,,, 
,California,"160,412","170,131","164,213",0.7,%,-3.5,%,,, 
,Colorado/d,"16,833","22,795","22,815",3.4,,0.1,,,, 
,Hawaii/a,"3,553","4,119","3,939",1.7,,-4.4,,,, 
,Idaho,"5,535","7,400","7,431",3.3,,0.4,,,, 
,Montana,"3,105","3,605","3,716",1.7,,3.1,,,, 
,Nevada,"10,063","12,482","12,556",2.4,,0.6,,,, 
,New Mexico,"4,666","6,320","6,614",3.4,,4.7,,,, 
,Oregon/d,"10,553","14,365","13,971",3.5,,-2.7,,,, 
,Utah,"5,541","6,524","6,795",1.8,,4.2,,,, 
,Washington,"14,666","18,199","18,212",2.4,,0.1,,,, 
,Wyoming,"1,680","2,075","2,112",2.4,,1.8,,,, 
Note:  Counts based on prisoners with a sentence of more than 1 year.,,,,,,,,,,,
"~Not applicable.  As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,
a/Prisons and jails form one integrated system.  Data include total jail and prison populations. ,,,,,,,,,,,
b/See NPS jurisdiction notes.,,,,,,,,,,,
c/Includes some prisoners sentenced to 1 year. ,,,,,,,,,,,
d/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,,,,
e/Prison population based on custody counts.,,,,,,,,,,,
"Source: BJS, National Prisoner Statistics Program.",,,,,,,,,,,
