Bureau of Justice Statistics,,,,,,,
Filename: p10at09.csv,,,,,,,
"Appendix Table 9. Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, by sex and jurisdiction, December 31, 2009 and 2010",,,,,,,
Report title: Prisoners in 2010 NCJ 236096,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,
"Author(s): Paul Guerino, Paige M. Harrison, and William J. Sabol",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 01/10/2012,,,,,,,
,,,,,,,
"Appendix Table 9. Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, by sex and jurisdiction, December 31, 2009 and 2010",,,,,,,
Region and jurisdiction,,2009,,,2010,,
,,Total,Male,Female,Total,Male,Female
U.S. total/a,,504,952,67,500,942,67
,Federal,61,116,8,61,117,8
,State/a,444,838,60,439,827,60
Northeast/a,,302,589,29,296,577,27
,Connecticut/b,382,741,39,376,730,37
,Maine,150,287,20,148,281,21
,Massachusetts/a,213,424,12,199,392,13
,New Hampshire,206,393,25,209,392,30
,New Jersey/c,291,565,27,286,554,26
,New York,298,588,24,288,568,22
,Pennsylvania,406,788,43,403,782,41
,Rhode Island/b,211,416,17,197,383,20
,Vermont/b,277,531,31,265,505,31
Midwest,,389,737,51,389,735,53
,Illinois/c,349,667,39,373,711,44
,Indiana,447,828,77,434,800,76
,Iowa/c,292,542,47,309,574,50
,Kansas/d,305,574,40,317,593,43
,Michigan,457,893,35,445,864,37
,Minnesota,189,354,25,185,347,24
,Missouri,509,958,79,508,954,80
,Nebraska,243,450,40,247,453,43
,North Dakota,228,401,54,226,394,55
,Ohio/d,446,844,67,448,846,68
,South Dakota,420,747,93,416,732,100
,Wisconsin,394,747,44,366,696,40
South,,555,1046,78,551,1038,79
,Alabama,650,1239,95,648,1233,97
,Arkansas,522,990,72,552,1045,78
,Delaware/b,447,876,42,443,864,42
,Florida,559,1055,77,556,1047,77
,Georgia,561,1066,72,549,1034,81
,Kentucky,478,873,96,458,837,92
,Louisiana,881,1693,113,867,1669,103
,Maryland,382,752,34,387,762,31
,Mississippi,702,1335,106,686,1315,94
,North Carolina,370,711,44,373,714,44
,Oklahoma,657,1192,135,654,1190,130
,South Carolina,512,988,60,495,953,57
,Tennessee,426,809,62,432,817,65
,Texas,648,1204,93,648,1198,96
,Virginia,480,902,72,468,877,70
,West Virginia,346,630,72,363,659,76
West,,429,793,64,418,772,60
,Alaska/b,357,637,57,340,604,49
,Arizona/e,580,1053,104,572,1038,101
,California,458,857,58,439,823,52
,Colorado/d,450,810,84,445,802,81
,Hawaii/b,317,561,68,302,533,64
,Idaho,476,852,96,474,841,104
,Montana,368,656,80,378,668,87
,Nevada,470,853,73,472,855,74
,New Mexico,313,574,57,323,593,58
,Oregon/d,373,694,58,361,672,55
,Utah,232,418,42,238,430,43
,Washington,271,502,41,269,496,42
,Wyoming,377,666,79,385,673,86
"Note: Imprisonment rate is the number of prisoners sentenced to more than 1 year per 100,000 U.S. residents. Based on census estimates for January 1, 2010.",,,,,,,
a/The 2009-2010 imprisonment rates include prisoners sentenced to more than 1 year but held in local jails or houses of correction in the Commonwealth of Massachusetts. See NPS Jurisdiction Notes.,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,
c/Includes some prisoners sentenced to 1 year.,,,,,,,
d/Includes some prisoners sentenced to 1 year or less.,,,,,,,
e/Prison population based on custody counts. ,,,,,,,
"Source: BJS, National Prisoner Statistics Program and unpublished U.S. Census Bureau January 1 population estimates.",,,,,,,
