Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p11at01.csv,,,,,,,,,,,,
"Appendix table 1. Prisoners under the jurisdiction of state or federal correctional authorities and jurisdiction population change, December 31, 2009, 2010, and 2011",,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 1. Prisoners under the jurisdiction of state or federal correctional authorities and jurisdiction population change, December 31, 2009, 2010, and 2011",,,,,,,,,,,,
,,,,,,Population difference,,,Percent change,,,
Jurisdiction,,2009,2010,2011,,2009–2010,2010–2011,,2009–2010,,2010–2011,
,U.S. total,"1,615,487","1,613,803","1,598,780",,"-1,684","-15,023",,-0.1,%,-0.9,%
Federal/a,,"208,118","209,771","216,362",,"1,653","6,591",,0.8,%,3.1,%
State,,"1,407,369","1,404,032","1,382,418",,"-3,337","-21,614",,-0.2,,-1.5,
,Alabama,"31,874","31,764","32,270",,-110,506,,-0.3,%,1.6,%
,Alaska/b,"5,285","5,391","5,412",,106,21,,2,,0.4,
,Arizona/c,"40,544","40,209","40,020",,-335,-189,,-0.8,,-0.5,
,Arkansas,"15,208","16,204","16,108",,996,-96,,6.5,,-0.6,
,California,"171,275","165,062","149,569",,"-6,213","-15,493",,-3.6,,-9.4,
,Colorado,"22,795","22,815","21,978",,20,-837,,0.1,,-3.7,
,Connecticut/b,"19,716","19,321","18,324",,-395,-997,,-2,,-5.2,
,"Delaware/b,c","6,775","6,615","6,739",,-160,124,,-2.4,,1.9,
,Florida,"103,915","104,306","103,055",,391,"-1,251",,0.4,,-1.2,
,Georgia,"56,986","56,432","55,944",,-554,-488,,-1,,-0.9,
,"Hawaii/b,d","5,891","5,912","6,037",,21,125,,0.4,,2.1,
,Idaho,"7,400","7,431","7,739",,31,308,,0.4,,4.1,
,Illinois,"45,161","48,418","48,427",,"3,257",9,,7.2,,0,
,Indiana,"28,808","28,028","28,906",,-780,878,,-2.7,,3.1,
,Iowa,"8,813","9,455","9,116",,642,-339,,7.3,,-3.6,
,Kansas,"8,641","9,051","9,327",,410,276,,4.7,,3,
,Kentucky,"21,638","20,544","21,545",,"-1,094","1,001",,-5.1,,4.9,
,Louisiana,"39,780","39,445","39,710",,-335,265,,-0.8,,0.7,
,Maine,"2,206","2,154","2,145",,-52,-9,,-2.4,,-0.4,
,Maryland,"22,255","22,645","22,558",,390,-87,,1.8,,-0.4,
,Massachusetts,"11,316","11,313","11,623",,-3,310,,0,,2.7,
,Michigan,"45,478","44,165","42,940",,"-1,313","-1,225",,-2.9,,-2.8,
,Minnesota,"9,986","9,796","9,800",,-190,4,,-1.9,,0,
,Mississippi,"21,482","21,067","21,386",,-415,319,,-1.9,,1.5,
,Missouri,"30,563","30,623","30,833",,60,210,,0.2,,0.7,
,Montana,"3,605","3,716","3,678",,111,-38,,3.1,,-1,
,Nebraska,"4,474","4,587","4,616",,113,29,,2.5,,0.6,
,Nevada,"12,482","12,653","12,778",,171,125,,1.4,,1,
,New Hampshire,"2,731","2,761","2,614",,30,-147,,1.1,,-5.3,
,New Jersey,"25,382","25,007","23,834",,-375,"-1,173",,-1.5,,-4.7,
,New Mexico,"6,363","6,763","6,998",,400,235,,6.3,,3.5,
,New York,"58,687","56,656","55,436",,"-2,031","-1,220",,-3.5,,-2.2,
,North Carolina,"39,860","40,382","39,440",,522,-942,,1.3,,-2.3,
,North Dakota,"1,486","1,487","1,423",,1,-64,,0.1,,-4.3,
,Ohio,"51,606","51,712","50,964",,106,-748,,0.2,,-1.4,
,Oklahoma,"24,803","26,252","25,977",,"1,449",-275,,5.8,,-1,
,Oregon,"14,403","14,876","14,510",,473,-366,,3.3,,-2.5,
,Pennsylvania,"51,429","51,264","51,578",,-165,314,,-0.3,,0.6,
,"Rhode Island/b,d","3,674","3,357","3,337",,-317,-20,,-8.6,,-0.6,
,South Carolina,"24,288","23,578","22,914",,-710,-664,,-2.9,,-2.8,
,South Dakota,"3,434","3,434","3,535",,0,101,,0,,2.9,
,Tennessee,"26,965","27,451","28,479",,486,"1,028",,1.8,,3.7,
,Texas,"171,249","173,649","172,224",,"2,400","-1,425",,1.4,,-0.8,
,Utah,"6,538","6,807","6,879",,269,72,,4.1,,1.1,
,Vermont/b,"2,220","2,079","2,053",,-141,-26,,-6.4,,-1.3,
,Virginia,"38,059","37,638","38,130",,-421,492,,-1.1,,1.3,
,Washington,"18,233","18,235","17,847",,2,-388,,0,,-2.1,
,West Virginia,"6,367","6,681","6,826",,314,145,,4.9,,2.2,
,Wisconsin,"23,165","22,729","22,654",,-436,-75,,-1.9,,-0.3,
,Wyoming,"2,075","2,112","2,183",,37,71,,1.8,,3.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
c/Prison jurisdiction population based on custody counts.,,,,,,,,,,,,
d/Counts include dual jurisdiction cases where the inmate is currently housed in another jurisdiction’s facilities.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2009–2011.",,,,,,,,,,,,
