Bureau of Justice Statistics,,,,,,,,,,
Filename: p11at02.csv,,,,,,,,,,
"Appendix table 2. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2009, 2010, and 2011",,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 2. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000, 2009, 2010, and 2011",,,,,,,,,,
,,,,,,,Percent change,,,
Jurisdiction,,2000,2009,2010,2011,,"Average annual, 2000–2010",, 2010–2011,
,U.S. total,"1,334,174","1,553,574","1,552,669","1,537,415",,1.4,%,-1,%
Federal/a,,"125,044","187,886","190,641","197,050",,3.8,%,3.4,%
State,,"1,209,130","1,365,688","1,362,028","1,340,365",,1.1,,-1.6,
,Alabama,"26,034","30,723","30,739","31,271",,1.5,%,1.7,%
,Alaska/b,"2,128","2,508","2,775","2,901",,2.4,,4.5,
,Arizona/c,"25,412","38,529","38,423","38,370",,3.8,,-0.1,
,Arkansas,"11,851","15,144","16,147","16,037",,2.8,,-0.7,
,California,"160,412","170,131","164,213","149,025",,0.2,,-9.2,
,Colorado/d,"16,833","22,795","22,815","21,978",,2.8,,-3.7,
,Connecticut/b,"13,155","13,466","13,308","12,549",,0.1,,-5.7,
,"Delaware/b,c","3,937","3,971","3,961","4,003",,0.1,,1.1,
,Florida,"71,318","103,915","104,306","103,055",,3.5,,-1.2,
,Georgia,"44,141","55,516","54,685","53,955",,1.9,,-1.3,
,"Hawaii/b,e","3,553","4,119","3,939","3,910",,0.9,,-0.7,
,Idaho,"5,535","7,400","7,431","7,739",,2.7,,4.1,
,Illinois/f,"45,281","45,161","48,418","48,427",,0.6,,0,
,Indiana,"19,811","28,788","28,012","28,890",,3.1,,3.1,
,Iowa,"7,955","8,813","9,388","9,057",,1.5,,-3.5,
,Kansas,"8,344","8,641","9,051","9,327",,0.7,,3,
,Kentucky,"14,919","20,672","19,937","20,952",,2.6,,5.1,
,Louisiana,"35,207","39,780","39,444","39,709",,1,,0.7,
,Maine,"1,635","1,980","1,942","1,952",,1.6,,0.5,
,Maryland,"22,490","21,868","22,275","22,252",,-0.1,,-0.1,
,Massachusetts,"9,479","10,070","10,027","10,316",,0.5,,2.9,
,Michigan,"47,718","45,478","44,113","42,904",,-0.7,,-2.7,
,Minnesota,"6,238","9,986","9,796","9,800",,4.1,,0,
,Mississippi,"19,239","20,768","20,366","20,585",,0.5,,1.1,
,Missouri,"27,519","30,554","30,614","30,829",,1,,0.7,
,Montana,"3,105","3,605","3,716","3,678",,1.6,,-1,
,Nebraska,"3,816","4,392","4,498","4,511",,1.5,,0.3,
,Nevada,"10,063","12,482","12,556","12,639",,2,,0.7,
,New Hampshire,"2,257","2,731","2,761","2,614",,1.8,,-5.3,
,New Jersey/f,"29,784","25,382","25,007","23,834",,-1.6,,-4.7,
,New Mexico,"4,666","6,320","6,614","6,855",,3.2,,3.6,
,New York,"70,199","58,455","56,461","55,262",,-2,,-2.1,
,North Carolina,"27,043","34,863","35,436","35,102",,2.5,,-0.9,
,North Dakota,994,"1,486","1,487","1,423",,3.7,,-4.3,
,Ohio/d,"45,833","51,606","51,712","50,964",,1.1,,-1.4,
,Oklahoma,"23,181","24,396","24,514","24,024",,0.5,,-2,
,Oregon,"10,553","14,365","14,831","14,459",,3.1,,-2.5,
,Pennsylvania,"36,844","51,316","51,075","51,390",,3,,0.6,
,"Rhode Island/b,e","1,966","2,220","2,086","2,065",,0.5,,-1,
,South Carolina,"21,017","23,486","22,822","22,233",,0.7,,-2.6,
,South Dakota,"2,613","3,430","3,431","3,530",,2.5,,2.9,
,Tennessee,"22,166","26,965","27,451","28,479",,1.9,,3.7,
,Texas,"158,008","162,186","164,652","163,552",,0.4,,-0.7,
,Utah,"5,541","6,524","6,795","6,877",,1.9,,1.2,
,Vermont/b,"1,313","1,724","1,649","1,598",,2.1,,-3.1,
,Virginia,"29,643","38,059","37,410","38,130",,2.1,,1.9,
,Washington/d,"14,666","18,199","18,212","17,808",,2,,-2.2,
,West Virginia,"3,795","6,313","6,642","6,803",,5.1,,2.4,
,Wisconsin,"20,336","22,332","21,973","20,559",,0.7,,-6.4,
,Wyoming,"1,680","2,075","2,112","2,183",,2.1,,3.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner regardless of where the prisoner is held. Counts based on prisoners with sentences of more than 1 year under the jurisdiction of state or federal correctional officials. As of December 31, 2001, sentenced felons from the District of Columbia are the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,
a/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,
c/Prison jurisdiction population based on custody counts.,,,,,,,,,,
d/Includes some prisoners sentenced to 1 year or less.,,,,,,,,,,
e/Counts include dual jurisdiction cases where the inmate is currently housed in another jurisdiction’s facilities.,,,,,,,,,,
f/Includes some prisoners sentenced to 1 year.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2000–2011.",,,,,,,,,,
