Bureau of Justice Statistics,,,,,,,,,
Filename: p11at14.csv,,,,,,,,,
"Appendix table 14. Reported state and federal prison capacities and custody populations, December 31, 2011",,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,
 ,,,,,,,,,
"Appendix table 14. Reported state and federal prison capacities and custody populations, December 31, 2011",,,,,,,,,
,Type of capacity measure,,,,Custody population as a percent of—,,,,
Jurisdiction,Rate/d,Operational,Design,,Custody population,Highest capacity/a,,Lowest capacity/a,
Federal,"127,647",…,…,,"176,228",138,%,138,%
Alabama/b,…,"26,339","13,403",,"26,268",100,%,196,%
Alaska,"3,058","3,206",…,,"3,708",116,,121,
Arizona,"37,239","42,433","37,239",,"33,492",79,,90,
Arkansas,"14,041","14,041","13,477",,"14,090",100,,105,
California/b,…,"139,397","84,130",,"147,578",106,,175,
Colorado,…,"14,835","13,784",,"17,559",118,,127,
Connecticut,/,/,/,,"17,022",/,,/,
Delaware/b,"5,782","5,210","4,161",,"6,546",113,,157,
Florida/c,…,"112,768",…,,"100,861",89,,89,
Georgia/c,"60,608","55,122",…,,"52,844",87,,96,
Hawaii,…,"3,327","2,291",,"3,687",111,,161,
"Idaho/b,c","7,028","6,677","7,028",,"7,470",106,,112,
Illinois,"33,703","33,703","29,794",,"48,427",144,,163,
Indiana,…,"30,524",…,,"24,450",80,,80,
Iowa,…,…,"7,794",,"9,115",117,,117,
Kansas,"9,180","9,033","9,164",,"9,256",101,,102,
Kentucky,"13,462","13,462","13,807",,"11,951",87,,89,
Louisiana/c,"18,843","18,840",…,,"18,844",100,,100,
Maine,"2,339","2,133","2,339",,"1,978",85,,93,
Maryland,…,"23,981",…,,"22,923",96,,96,
Massachusetts,…,…,"8,029",,"11,467",143,,143,
Michigan/b,"44,400","43,680",…,,"42,904",97,,98,
Minnesota,…,"9,099",…,,"9,309",102,,102,
Mississippi/c,…,"24,075",…,,"15,390",64,,64,
Missouri/b,…,"31,331",…,,"30,969",99,,99,
Montana,…,"1,679",…,,"1,707",102,,102,
Nebraska/b,…,"3,969","3,175",,"4,657",117,,147,
Nevada,/,/,/,,"12,159",/,,/,
New Hampshire,…,"2,423","2,190",,"2,423",100,,111,
New Jersey,…,"21,640","15,828",,"20,755",96,,131,
New Mexico,"6,192","7,108","7,108",,"3,834",54,,62,
New York,"53,387","54,289","52,738",,"55,196",102,,105,
North Carolina,…,"39,066","33,483",,"39,662",102,,118,
North Dakota/b,"1,044",991,"1,044",,"1,385",133,,140,
Ohio,/,/,/,,"47,957",/,,/,
Oklahoma/b,"18,607","18,607","18,607",,"17,724",95,,95,
Oregon,…,…,"14,362",,"13,728",96,,96,
Pennsylvania/b,"48,376","48,376","48,376",,"48,515",100,,100,
Rhode Island,"3,869","3,654","3,859",,"3,032",78,,83,
South Carolina,…,"24,361",…,,"22,343",92,,92,
South Dakota/b,…,"3,508",…,,"3,551",101,,101,
Tennessee,"20,623","20,177",…,,"14,684",71,,73,
Texas/b,"166,631","160,134","166,631",,"141,353",85,,88,
Utah,…,"6,961","7,201",,"5,294",74,,76,
Vermont,"1,662","1,662","1,322",,"1,531",92,,116,
Virginia/b,"32,154",…,…,,"28,962",90,,90,
Washington,"16,282","16,979","16,979",,"17,109",101,,105,
West Virginia,"4,363","5,185","4,363",,"5,149",99,,118,
"Wisconsin/b,c",…,…,"17,210",,"22,381",130,,130,
Wyoming,"2,577","2,577","2,221",,"1,917",74,,86,
…Not available. Specific type of capacity is not measured by state.,,,,,,,,,
/Not reported. State does not report capacity data.,,,,,,,,,
"a/Population counts are based on the number of inmates held in custody in facilities operated by the jurisdiction. Excludes inmates held in local jails, other states, or private facilities unless otherwise stated.",,,,,,,,,
b/State defines capacity in a way that differs from BJS’s definition.  See individual NPS jurisdiction notes for details. ,,,,,,,,,
c/Private facilities included in capacity and custody counts.,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2011.",,,,,,,,,
