Bureau of Justice Statistics,,,,,,,,
Filename: p13at01.csv,,,,,,,,
"Appendix table 1. Prison facility capacity, custody population, and percent capacity, December 31, 2013",,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 08/27/2014,,,,,,,,
,,,,,,,,
,,,,,,,,
"Appendix table 1. Prison facility capacity, custody population, and percent capacity, December 31, 2013",,,,,,,,
,Type of capacity measure,,,,Custody population as a percent of—,,,
Jurisdiction,Rated,Operational,Design,Custody population,Lowest capacity/a,,Highest capacity/a,
Federal/b,"130,907",...,...,"174,242",133.1,%,133.1,%
Alabama/c,...,"26,145","13,318","26,271",197.3,%,100.5,%
Alaska/d,/,/,/,"5,054",/,,/,
Arizona,"36,681","42,025","36,681","34,626",94.4,,82.4,
Arkansas,"14,424","14,479","13,885","14,295",103,,98.7,
California/c,...,...,"86,054","122,798",142.7,,142.7,
Colorado,...,"14,121","13,183","16,286",123.5,,115.3,
Connecticut,/,/,/,"16,594",/,,/,
Delaware/c,"5,775","5,210","4,161","6,798",163.4,,117.7,
Florida/e,...,"114,995",...,"100,940",87.8,,87.8,
Georgia/e,"60,638","54,583",...,"53,701",98.4,,88.6,
Hawaii,...,"3,327","2,291","3,752",163.8,,112.8,
"Idaho/c,e",...,"6,924","7,010","7,219",104.3,,103,
Illinois,"32,075","32,075","28,192","48,653",172.6,,151.7,
Indiana,...,"30,917",...,"28,495",92.2,,92.2,
Iowa/f,...,...,"7,109","8,106",114,,114,
Kansas,"9,180","9,233","9,164","9,515",103.8,,103.1,
Kentucky,"12,157","13,062","13,857","12,141",99.9,,87.6,
Louisiana/e,"18,121","15,531","16,764","18,794",121,,103.7,
Maine,"2,339","2,033","2,339","2,073",102,,88.6,
Maryland,...,"23,465",...,"21,676",92.4,,92.4,
Massachusetts,...,...,"8,029","10,622",132.3,,132.3,
"Michigan/c,g","44,846","43,985",...,"43,704",99.4,,97.5,
Minnesota,...,"9,099",...,"9,391",103.2,,103.2,
Mississippi/e,...,"25,691",...,"15,591",60.7,,60.7,
Missouri/c,...,"31,681",...,"31,499",99.4,,99.4,
Montana,"1,679",...,...,"1,666",99.2,,99.2,
Nebraska/c,...,"3,969","3,175","5,012",157.9,,126.3,
Nevada/h,/,/,/,/,/,,/,
New Hampshire/c,…,"2,848","2,190","2,848",130,,100,
New Jersey,"19,461","20,959","22,902","19,528",100.3,,85.3,
New Mexico,"6,485","7,428","7,428","3,783",58.3,,50.9,
New York,"52,855","53,408","52,330","53,312",101.9,,99.8,
North Carolina,...,"39,206","33,615","37,176",110.6,,94.8,
North Dakota/i,"1,044",991,"1,044","1,571",158.5,,150.5,
Ohio,"38,579",...,...,"46,224",119.8,,119.8,
Oklahoma/c,"18,607","18,607","18,607","18,313",98.4,,98.4,
Oregon/i,...,...,"14,362","14,605",101.7,,101.7,
Pennsylvania/c,"47,780","47,780","47,780","49,735",104.1,,104.1,
Rhode Island,"3,989","3,774","3,973","3,168",83.9,,79.4,
South Carolina,...,"23,806",...,"21,534",90.5,,90.5,
South Dakota/c,...,"3,633",...,"3,596",99,,99,
Tennessee,"22,264","21,528",...,"15,655",72.7,,70.3,
Texas/c,"161,173","154,901","161,173","140,839",90.9,,87.4,
Utah,...,"7,191","7,431","5,382",74.8,,72.4,
Vermont,"1,681","1,681","1,322","1,579",119.4,,93.9,
Virginia/c,"31,658",...,...,"28,431",89.8,,89.8,
Washington,"16,799","16,488",...,"17,760",107.7,,105.7,
West Virginia,"4,948","5,778","4,948","5,708",115.4,,98.8,
Wisconsin/c,...,"22,923","17,181","22,443",130.6,,97.9,
Wyoming,"2,288","2,288","2,407","2,036",89,,84.6,
…Not available. Specific type of capacity is not measured by state.,,,,,,,,
/Not reported.,,,,,,,,
"a/Population counts are based on the number of inmates held in custody of facilities operated by the jurisdiction. Excludes inmates held in local jails, other states, or private facilities unless otherwise stated.",,,,,,,,
b/Federal custody count reported for the calculation of capacity includes an additional 412 inmates compared to the yearend custody reported in National Prisoner Statistics (NPS).,,,,,,,,
c/State defines capacity in a way that differs from BJS’s definition. See Jurisdiction notes.,,,,,,,,
"d/Alaska did not report 2013 capacity data to NPS, and new facility construction prevents BJS from using prior years’ data.",,,,,,,,
e/Private facilities included in capacity and custody counts.,,,,,,,,
f/Both capacity and custody counts exclude inmates in community-based work release facilities.,,,,,,,,
g/Capacity counts include institution and camp net operating capacities and the population of community programs on December 31 since these programs do not have a fixed capacity.,,,,,,,,
h/Nevada did not report 2013 NPS data.,,,,,,,,
i/State did not report 2013 capacity or custody data to NPS. Data are from 2012.,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2013.",,,,,,,,
