Bureau of Justice Statistics,,,,,,,,,,,,,,,
File name: p15t02.csv,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2014 and 2015",,,,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, December 31, 2014 and 2015",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,2014,,,,2015,,,"Percent change, 2014–2015",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total/a,"1,562,319","1,449,291","113,028",,"1,526,792","1,415,297","111,495",,-2.3,%,-2.3,%,-1.4,%
Federal/b,,"210,567","196,568","13,999",,"196,455","183,502","12,953",,-6.7,%,-6.6,%,-7.5,%
State/a,,"1,351,752","1,252,723","99,029",,"1,330,337","1,231,795","98,542",,-1.6,%,-1.7,%,-0.5,%
,Alabama,"31,771","29,182","2,589",,"30,810","28,220","2,590",,-3.0,,-3.3,,0.0,
,"Alaska/c,d","5,794","5,091",703,,"5,338","4,761",577,,-7.9,,-6.5,,-17.9,
,Arizona,"42,259","38,295","3,964",,"42,719","38,738","3,981",,1.1,,1.2,,0.4,
,Arkansas,"17,874","16,476","1,398",,"17,707","16,305","1,402",,-0.9,,-1.0,,0.3,
,California/c,"136,085","129,703","6,382",,"129,593","123,808","5,785",,-4.8,,-4.5,,-9.4,
,Colorado,"20,646","18,738","1,908",,"20,168","18,322","1,846",,-2.3,,-2.2,,-3.2,
,Connecticut/d,"16,636","15,510","1,126",,"15,816","14,695","1,121",,-4.9,,-5.3,,-0.4,
,Delaware/d,"6,955","6,361",594,,"6,654","6,117",537,,-4.3,,-3.8,,-9.6,
,Florida,"102,870","95,567","7,303",,"101,424","94,481","6,943",,-1.4,,-1.1,,-4.9,
,Georgia,"52,949","49,438","3,511",,"52,193","48,578","3,615",,-1.4,,-1.7,,3.0,
,Hawaii/d,"5,866","5,198",668,,"5,879","5,177",702,,0.2,,-0.4,,5.1,
