Bureau of Justice Statistics,,,,,,,,,,,,,,,
File name: p15t07.csv,,,,,,,,,,,,,,,
"Table 7. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2014 and 2015",,,,,,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 7. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2014 and 2015",,,,,,,,,,,,,,,
,,Admissions/a,,,,,,,Releases/b,,,,,,
Jurisdiction,,2014 total,2015 total,"Percent  change, 2014–2015",,2015 new court commitments/c,"2015 post-custody supervision violations/c,d",,2014 total,2015 total,"Percent  change, 2014–2015",,"2015 unconditionale/e,f,g","2015 conditionale/e,g,h",
,U.S. total/i,"626,096","608,318",-2.8,%,"429,074","164,626",,"636,346","641,027",0.7,%,"181,868","405,603",
Federal/g,,"50,865","46,912",-7.8,%,"42,573","4,338",,"54,529","60,156",10.3,%,"58,931",367,
State/i,,"575,231","561,406",-2.4,%,"386,501","160,288",,"581,817","580,871",-0.2,%,"122,937","405,236",
,Alabama,"10,912","10,451",-4.2,,"8,507","1,136",,"11,585","11,446",-1.2,,"3,958","7,300",
,"Alaska/j,k","3,846","4,271",11.1,,/,/,,"3,774","4,085",8.2,,"1,903","2,140",
,Arizona,"14,439","14,670",1.6,,"11,920","2,723",,"13,513","14,092",4.3,,"2,363","10,738",
,Arkansas,"9,435","9,351",-0.9,,"5,480","3,871",,"8,812","9,702",10.1,,726,"8,923",
,California,"38,765","34,790",-10.3,,"30,744","4,046",,"38,559","41,257",7,,/,/,
,Colorado,"10,144","9,291",-8.4,,"5,153","4,138",,"9,869","9,958",0.9,,"1,523","8,277",
,Connecticut/j,"5,487","5,377",-2,,"4,482",809,,"5,968","5,937",-0.5,,"3,043","2,880",
,"Delaware/j,l","3,349","3,146",-6.1,,"2,435",684,,"4,222","4,261",0.9,,315,"3,866",
,Florida,"32,014","30,431",-4.9,,"29,667",106,,"32,754","32,690",-0.2,,"20,355","11,963",
,Georgia,"18,455","17,227",-6.7,,"14,919","2,201",,"17,124","15,599",-8.9,,"7,085","8,386",
,Hawaii/j,"1,845","1,515",-17.9,,844,671,,"1,242","1,293",4.1,,330,581,
,Idaho,"4,597","4,092",-11,,"1,599","2,483",,"4,501","5,315",18.1,,476,"4,818",
,Illinois/m,"29,678","27,175",-8.4,,"18,075","8,975",,"30,055","29,650",-1.3,,"4,669","24,797",
,Indiana,"17,086","16,021",-6.2,,"12,033","3,742",,"17,866","16,075",-10,,"1,850","14,141",
,Iowa,"5,153","5,120",-0.6,,"3,552","1,557",,"5,005","5,134",2.6,,"1,195","3,875",
,Kansas/n,"5,135","5,884",14.6,,"3,591","1,375",,"5,554","5,924",6.7,,"1,689","4,208",
,Kentucky,"18,385","19,356",5.3,,"10,709","8,420",,"17,731","18,476",4.2,,"3,540","14,259",
,Louisiana,"16,376","15,746",-3.8,,"10,801","4,945",,"17,882","17,971",0.5,,"1,136","16,692",
,Maine,774,845,9.2,,408,437,,"1,031",682,-33.9,,318,354,
,Maryland/o,"9,223","9,837",:,,"6,711","3,123",,"9,466","10,258",:,,"3,209","6,965",
,Massachusetts,"2,526","2,214",-12.4,,"1,995",211,,"2,654","2,708",2,,"1,919",758,
,Michigan,"13,834","12,982",-6.2,,"7,412","3,014",,"14,177","13,713",-3.3,,915,"10,536",
,Minnesota/p,"7,866","8,057",:,,"5,117","2,940",,"7,642","7,669",:,,956,"6,697",
,Mississippi,"6,570","6,461",-1.7,,"4,702","1,411",,"9,442","6,104",-35.4,,499,"5,509",
,Missouri,"19,000","18,208",-4.2,,"9,609","8,599",,"18,767","17,930",-4.5,,"1,510","16,287",
,Montana,"2,448","2,394",-2.2,,"1,816",578,,"2,387","2,413",1.1,,263,"2,132",
,Nebraska,"2,705","2,283",-15.6,,"1,875",366,,"2,284","2,317",1.4,,877,"1,420",
,Nevada/q,"5,876",/,/,,/,/,,"5,838",/,/,,/,/,
,New Hampshire,"1,611","1,578",-2,,796,782,,"1,562","1,660",6.3,,76,"1,574",
,New Jersey,"9,257","9,028",-2.5,,"6,456","2,572",,"10,275","10,248",-0.3,,"5,907","4,020",
,New Mexico/r,"3,798","3,994",5.2,,"2,653","1,341",,"3,515","3,737",6.3,,985,"2,731",
,New York,"21,572","20,667",-4.2,,"12,390","8,140",,"22,927","21,775",-5,,"2,322","19,174",
,North Carolina,"16,016","16,319",1.9,,"13,021","3,298",,"15,264","16,353",7.1,,"3,294","12,975",
,North Dakota,"1,142","1,569",37.4,,903,665,,"1,046","1,484",41.9,,197,"1,283",
,Ohio/r,"22,189","22,473",1.3,,"18,207","4,247",,"22,399","21,759",-2.9,,"9,441","12,164",
,Oklahoma,"10,095","9,734",-3.6,,"7,096","2,638",,"8,654","8,898",2.8,,"3,397","5,393",
,Oregons,"5,330","5,212",-2.2,,/,/,,"5,432","5,084",-6.4,,/,/,
,Pennsylvania/t,"20,084","20,113",0.1,,"9,697","9,452",,"20,555","20,847",1.4,,"3,285","17,382",
,Rhode Island/j,821,623,-24.1,,524,99,,867,781,-9.9,,576,200,
,South Carolina,"6,283","6,156",-2,,"4,877","1,272",,"6,897","6,595",-4.4,,"2,126","4,387",
,South Dakota,"2,266","2,623",15.8,,"1,220",549,,"2,413","2,746",13.8,,326,"1,832",
,Tennessee,"14,987","13,536",-9.7,,"7,954","5,562",,"15,556","14,488",-6.9,,"5,278","9,116",
,Texas,"75,571","74,851",-1,,"49,632","24,167",,"77,277","76,189",-1.4,,"10,698","63,563",
,Utah,"2,922","2,803",-4.1,,"1,419","1,384",,"2,979","3,346",12.3,,"1,063","2,266",
