Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p19t07.csv,,,,,,,,,,,,
"Table 7. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and age, 2018 and 2019",,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 7. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and age, 2018 and 2019",,,,,,,,,,,,
,,"Per 100,000 U.S. residents in a given category in 2018",,,,,,"Per 100,000 U.S. residents in a given category in 2019",,,,
,,All ages,,,,,,All ages,,,,
State/federal,,Total,Male,Female,,Age 18 or older,,Total,Male,Female,,Age 18 or older
,U.S. total/a,432,812,63,,556,,419,789,61,,539
Federal/b,,50,94,7,,64,,48,91,7,,62
State/a,,382,717,56,,491,,371,698,54,,477
,Alabama,418,807,54,,538,,419,809,55,,539
,Alaska/c,264,484,25,,351,,244,447,23,,323
,Arizona,560,"1,019",106,,724,,558,"1,010",111,,719
,Arkansas,590,"1,107",91,,769,,586,"1,089",101,,762
,"California/d,e",323,620,29,,417,,310,595,28,,399
,Colorado/f,354,632,71,,454,,341,612,67,,436
,Connecticut/c,252,490,26,,317,,245,473,28,,308
,Delaware/c,411,809,38,,520,,382,754,33,,482
,Florida,456,869,62,,569,,444,846,60,,552
,Georgia,502,957,71,,658,,507,967,72,,663
,Hawaii/c,230,417,42,,292,,215,389,40,,272
,Idaho,444,764,123,,595,,475,809,138,,632
,Illinois/f,314,602,36,,405,,302,579,35,,389
,Indiana,400,733,75,,522,,399,733,75,,520
,Iowa,298,546,53,,388,,293,535,53,,381
,Kansas,342,626,59,,451,,342,627,59,,450
,Kentucky,525,926,135,,677,,516,916,128,,665
,Louisiana,695,"1,348",73,,908,,680,"1,320",71,,887
,Maine,135,251,24,,166,,146,275,22,,179
,Maryland,310,612,26,,398,,305,606,23,,392
,Massachusetts,146,289,10,,182,,133,263,10,,165
,Michigan,388,746,41,,495,,381,732,40,,485
,Minnesota,180,336,25,,234,,176,331,23,,229
,Mississippi,627,"1,206",82,,820,,636,"1,224",83,,830
,Missouri,495,906,100,,638,,424,783,77,,545
,Montana/d,354,619,85,,450,,440,773,103,,559
,Nebraska,280,519,43,,372,,289,536,42,,382
,Nevada,447,806,85,,577,,413,744,80,,532
,New Hampshire/e,201,370,34,,247,,197,365,33,,243
,New Jersey/f,218,428,17,,279,,210,412,15,,268
,New Mexico,331,597,71,,429,,316,575,62,,408
,New York,239,470,21,,301,,224,440,19,,282
