Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p19t08.csv,,,,,,,,,,,,,,
"Table 8. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2018 and 2019",,,,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018 and 2019",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 8. Admissions and releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2018 and 2019",,,,,,,,,,,,,,
,,Admissions/a,,,,,,,Releases/b,,,,,
State/federal,,2018 total,2019 total,"Percent change, 2018-2019",,2019 new court commitments,2019 conditional supervision violations/c,,2018 total,2019 total,"Percent change, 2018-2019",,2019 unconditional/d,2019 conditional/e
,U.S. total/f,"596,407","576,956",-3.3,%,"395,827","167,037",,"614,860","608,026",-1.1,%,"154,876","433,683"
Federal/g,,"44,514","46,051",3.5,%,"39,329","6,722",,"47,208","50,717",7.4,%,"47,223",261
State/f,,"551,893","530,905",-3.8,%,"356,498","160,315",,"567,652","557,309",-1.8,%,"107,653","433,422"
,Alabama,"13,160","13,267",0.8,,"8,257","1,646",,"14,015","12,251",-12.6,,"3,222","7,255"
,Alaska/h,"1,765","1,560",-11.6,,"1,286",274,,"1,735","1,717",-1,,685,"1,029"
,Arizona,"13,753","13,440",-2.3,,"11,025","2,352",,"13,683","13,034",-4.7,,"1,917","11,006"
,Arkansas,"9,572","10,268",7.3,,"4,908","5,360",,"9,805","9,768",-0.4,,763,"8,923"
,California,"35,330","34,215",-3.2,,"29,764","4,451",,"34,461","37,863",9.9,,136,"37,176"
,Colorado,"10,155","9,413",-7.3,,"6,046","3,367",,"9,774","9,891",1.2,,"1,246","8,510"
,Connecticut/h,"4,162","4,058",-2.5,,"3,554",458,,"4,843","4,371",-9.7,,"2,070","2,287"
,"Delaware/h,i","2,505","2,007",-19.9,,"1,510",486,,"2,504","2,076",-17.1,,175,"1,801"
,Florida/j,"28,495","27,986",-1.8,,"27,118",86,,"30,132","30,140",0,,"18,360","11,365"
,Georgia,"17,736","18,277",3.1,,"16,032","2,236",,"16,348","15,876",-2.9,,"8,197","7,524"
,Hawaii/h,"1,784","1,440",-19.3,,723,717,,"1,816","1,623",-10.6,,366,680
,Idaho,"5,003","5,250",4.9,,"1,729","3,248",,"5,444","4,443",-18.4,,429,"3,958"
,Illinois/k,"22,835","21,951",-3.9,,"14,003","7,943",,"24,415","23,834",-2.4,,"3,807","19,765"
,Indiana,"12,005","11,172",-6.9,,"8,785","2,279",,"11,075","11,045",-0.3,,"1,248","9,700"
,Iowa,"5,342","6,331",18.5,,"3,798","2,524",,"5,434","6,266",15.3,,"1,276","4,445"
,Kansas,"6,506","5,871",-9.8,,"3,835","1,249",,"6,411","6,018",-6.1,,"1,255","4,728"
,Kentucky,"20,152","19,407",-3.7,,"12,170","7,075",,"20,014","19,545",-2.3,,"5,116","14,078"
,Louisiana,"15,646","16,040",2.5,,"11,341","4,699",,"16,759","16,868",0.7,,"1,360","15,396"
,Maine/l,892,892,:,,466,426,,757,744,:,,353,391
,Maryland/m,"7,661","7,171",-6.4,,"5,265","1,896",,"8,141","7,443",-8.6,,"2,303","5,076"
,Massachusetts,"1,983","1,950",-1.7,,"1,695",246,,"2,316","2,312",-0.2,,"1,649",633
,Michigan,"11,307","10,761",-4.8,,"6,276","2,406",,"12,212","11,470",-6.1,,465,"8,654"
,Minnesota,"7,317","6,894",-5.8,,"4,086","2,808",,"7,838","7,032",-10.3,,748,"6,216"
