Bureau of Justice Statistics,,,,,,,,,
Filename: p19t17.csv,,,,,,,,,
"Table 17. Prison facility capacity, custody population, and percent of capacity, December 31, 2019",,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,
,,,,,,,,,
"Table 17. Prison facility capacity, custody population, and percent of capacity, December 31, 2019",,,,,,,,,
,,Type of capacity,,,,Custody population as a percent of—,,,
State/federal,,Rated,Operational,Design,Custody population,Lowest capacity,,Highest capacity,
Federal/a,,"134,133",/,/,"147,404",109.9,%,109.9,%
State,,,,,,,,,
,Alabama/b,…,"22,231","12,412","21,802",175.7,%,98.1,%
,Alaska/c,"4,838",/,"4,664","4,346",93.2,,89.8,
,Arizona/d,"38,872","45,091","38,872","42,441",109.2,,94.1,
,Arkansas,"16,335","16,374","15,767","15,742",99.8,,96.1,
,California,…,"125,465","89,663","121,062",135,,96.5,
,Colorado,…,"14,691","13,145","15,689",119.4,,106.8,
,Connecticut/b,/,/,/,"12,274",:,,:,
,Delaware/b,"5,514","5,566","4,062","5,049",124.3,,90.7,
,Florida,…,"87,514",…,"82,282",94,,94,
,Georgia/d,"59,649","51,806",/,"54,620",105.4,,91.6,
,Hawaii,"3,487","3,527","3,527","3,550",101.8,,100.7,
,Idaho,/,"7,651",/,"8,422",110.1,,110.1,
,Illinois/b,"44,824","48,157",/,"37,746",84.2,,78.4,
,"Indiana/b,e",/,"29,019",/,"26,952",92.9,,92.9,
,Iowa,"7,089","7,089","7,089","8,438",119,,119,
,Kansas,"9,784","10,102","9,858","9,784",100,,96.9,
,Kentucky,"12,563","12,563","12,563","12,220",97.3,,97.3,
,Louisiana,"17,956","16,344","16,764","15,042",92,,83.8,
,Maine/f,"2,365","2,591","3,481","2,167",91.6,,62.3,
,Maryland/g,/,"20,693",/,"18,825",91,,91,
,Massachusetts,…,"10,173","7,492","7,923",105.8,,77.9,
,Michigan,"40,037","39,257",…,"38,053",96.9,,95,
,Minnesota,…,"9,504",…,"9,093",95.7,,95.7,
,Mississippi,/,"11,802",/,"10,290",87.2,,87.2,
,Missouri/b,"30,332","29,596",…,"26,012",87.9,,85.8,
,Montana,"2,012","1,935","1,142","1,985",173.8,,98.7,
,Nebraska/b,/,"4,807","3,535","5,546",156.9,,115.4,
,Nevada,"14,107","12,376","9,567","12,414",129.8,,88,
,New Hampshire/f,"2,760","2,760","1,810","2,464",136.1,,89.3,
,New Jersey,"15,983","17,219","21,877","15,988",100,,73.1,
,New Mexico,"3,418","4,764",/,"4,278",125.2,,89.8,
,New York,"50,121","50,315","49,593","43,515",87.7,,86.5,
,North Carolina,"39,012","36,226",…,"34,480",95.2,,88.4,
,North Dakota,"1,463","1,463","1,463","1,459",99.7,,99.7,
,Ohio,/,/,/,"43,572",:,,:,
,Oklahoma,"17,549","19,614","17,549","18,758",106.9,,95.6,
,Oregon/h,"14,712","15,612","14,712","14,412",98,,92.3,
,Pennsylvania/i,"51,157","46,359",…,"44,871",96.8,,87.7,
,Rhode Island,"3,989","3,790","3,977","2,587",68.3,,64.9,
,South Carolina,…,"21,586",…,"18,123",84,,84,
,"South Dakota/b,d",…,"4,397",…,"3,763",85.6,,85.6,
,Tennessee,"15,978","15,554",/,"11,711",75.3,,73.3,
,Texas,"155,634","149,605","155,634","133,496",89.2,,85.8,
,Utah,/,"6,771","7,127","5,102",75.4,,71.6,
,Vermont,"1,546","1,546","1,568","1,396",90.3,,89,
,Virginia,/,"29,222",/,"27,801",95.1,,95.1,
,Washington,/,"16,976",/,"17,882",105.3,,105.3,
,West Virginia,"5,910","6,241","5,910","5,910",100,,94.7,
,Wisconsin,/,"23,170","16,983","23,402",137.8,,101,
,Wyoming,"2,288","2,288","2,407","1,980",86.5,,82.3,
"Note: Excludes prisoners held in local jails, other states, or private facilities, unless otherwise noted. Rated capacity is the number of prisoners or beds that a facility can hold as set by a rating official. Operational capacity is the number of prisoners that a facility can hold based on staffing and services. Design capacity is the number of prisoners that a facility can hold as set by the architect or planner. Lowest capacity represents the minimum estimate of capacity submitted by the jurisdiction, while highest capacity represents the maximum estimate of capacity. When a jurisdiction could provide only a single estimate of capacity, it was used as both the lowest and highest capacity. For jurisdiction-level information, see Jurisdiction notes on the BJS website. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,
...Not available. State does not measure this type of capacity.,,,,,,,,,
:Not calculated.,,,,,,,,,
/Not reported.,,,,,,,,,
"a/Due to differences in the dates when data were extracted, the federal custody count reported for the calculation of capacity differs slightly from the year-end custody count reported in the National Prisoner Statistics (NPS). The count includes all federal prisoners, regardless of conviction status or sentence length.",,,,,,,,,
b/State defines capacity differently than BJS does. The data reported here reflect the states’ definitions. See Jurisdiction notes on the BJS website.,,,,,,,,,
c/Alaska’s capacity excludes non-traditional confinement such as halfway houses and electronic monitoring.,,,,,,,,,
