Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p20stt04.csv,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2019 and 2020",,,,,,,,,,,,,,,,
,,2019,,,2020,,,"Change, 2019–2020",,,"Percent change, 2019–2020",,,,,
Jurisdiction,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
,U.S. total/a,"1,379,786","1,278,484","101,302","1,182,166","1,102,651","79,515","-197,620","-175,833","-21,787",-14.3,%,-13.8,%,-21.5,%
Federal/b,,"158,498","147,422","11,076","142,028","132,407","9,621","-16,470","-15,015","-1,455",-10.4,%,-10.2,%,-13.1,%
State/a,,"1,221,288","1,131,062","90,226","1,040,138","970,244","69,894","-181,150","-160,818","-20,332",-14.8,%,-14.2,%,-22.5,%
,Alabama,"20,595","19,192","1,403","19,608","18,373","1,235",-987,-819,-168,-4.8,,-4.3,,-12,
,Alaska/c,"1,782","1,700",82,"1,794","1,695",99,12,-5,17,0.7,,-0.3,,20.7,
,Arizona/d,"40,951","36,847","4,104","37,101","33,566","3,535","-3,850","-3,281",-569,-9.4,,-8.9,,-13.9,
,Arkansas,"17,713","16,156","1,557","16,052","14,750","1,302","-1,661","-1,406",-255,-9.4,,-8.7,,-16.4,
,California,"122,417","116,929","5,488","97,319","93,814","3,505","-25,098","-23,115","-1,983",-20.5,,-19.8,,-36.1,
,Colorado/e,"19,785","17,866","1,919","16,168","14,858","1,310","-3,617","-3,008",-609,-18.3,,-16.8,,-31.7,
,Connecticut/c,"8,751","8,232",519,"6,359","6,062",297,"-2,392","-2,170",-222,-27.3,,-26.4,,-42.8,
,Delaware/c,"3,735","3,568",167,"3,118","3,024",94,-617,-544,-73,-16.5,,-15.2,,-43.7,
,Florida,"96,009","89,381","6,628","81,027","76,012","5,015","-14,982","-13,369","-1,613",-15.6,,-15,,-24.3,
,Georgia,"54,113","50,151","3,962","46,574","43,515","3,059","-7,539","-6,636",-903,-13.9,,-13.2,,-22.8,
,Hawaii/c,"3,037","2,752",285,"2,740","2,490",250,-297,-262,-35,-9.8,,-9.5,,-12.3,
,Idaho,"8,571","7,326","1,245","7,343","6,328","1,015","-1,228",-998,-230,-14.3,,-13.6,,-18.5,
,Illinois/e,"38,259","35,995","2,264","29,729","28,311","1,418","-8,530","-7,684",-846,-22.3,,-21.3,,-37.4,
,Indiana,"26,969","24,394","2,575","23,774","21,595","2,179","-3,195","-2,799",-396,-11.8,,-11.5,,-15.4,
,Iowa,"9,260","8,423",837,"8,280","7,591",689,-980,-832,-148,-10.6,,-9.9,,-17.7,
,Kansas,"9,965","9,103",862,"8,677","7,939",738,"-1,288","-1,164",-124,-12.9,,-12.8,,-14.4,
,Kentucky,"23,082","20,177","2,905","18,552","16,528","2,024","-4,530","-3,649",-881,-19.6,,-18.1,,-30.3,
,Louisiana,"31,584","29,895","1,689","26,964","25,773","1,191","-4,620","-4,122",-498,-14.6,,-13.8,,-29.5,
,Maine,"1,967","1,815",152,"1,619","1,504",115,-348,-311,-37,-17.7,,-17.1,,-24.3,
,Maryland,"18,476","17,753",723,"15,602","15,087",515,"-2,874","-2,666",-208,-15.6,,-15,,-28.8,
,Massachusetts,"7,503","7,264",239,"6,195","6,030",165,"-1,308","-1,234",-74,-17.4,,-17,,-31,
,Michigan,"38,053","36,024","2,029","33,617","31,913","1,704","-4,436","-4,111",-325,-11.7,,-11.4,,-16,
,Minnesota,"9,982","9,317",665,"8,236","7,758",478,"-1,746","-1,559",-187,-17.5,,-16.7,,-28.1,
,Mississippi,"18,915","17,644","1,271","17,311","16,179","1,132","-1,604","-1,465",-139,-8.5,,-8.3,,-10.9,
,Missouri,"26,038","23,638","2,400","23,059","21,164","1,895","-2,979","-2,474",-505,-11.4,,-10.5,,-21,
,Montana/f,"4,723","4,175",548,"3,927","3,457",470,:,:,:,:,,:,,:,
,Nebraska,"5,596","5,190",406,"5,220","4,858",362,-376,-332,-44,-6.7,,-6.4,,-10.8,
,Nevada,"12,840","11,601","1,239","11,422","10,451",971,"-1,418","-1,150",-268,-11,,-9.9,,-21.6,
,New Hampshire,"2,691","2,463",228,"2,352","2,168",184,-339,-295,-44,-12.6,,-12,,-19.3,
,New Jersey/e,"18,613","17,912",701,"12,830","12,369",461,"-5,783","-5,543",-240,-31.1,,-30.9,,-34.2,
,New Mexico,"6,634","5,975",659,"5,433","4,896",537,"-1,201","-1,079",-122,-18.1,,-18.1,,-18.5,
,New York,"43,439","41,522","1,917","34,114","32,828","1,286","-9,325","-8,694",-631,-21.5,,-20.9,,-32.9,
,North Carolina,"33,042","30,579","2,463","28,881","26,890","1,991","-4,161","-3,689",-472,-12.6,,-12.1,,-19.2,
,North Dakota,"1,767","1,563",204,"1,396","1,235",161,-371,-328,-43,-21,,-21,,-21.1,
,Ohio/e,"50,338","46,072","4,266","45,036","41,408","3,628","-5,302","-4,664",-638,-10.5,,-10.1,,-15,
