Bureau of Justice Statistics,,,,,,,,,,
Filename: p20stt08.csv,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020 federal correctional authorities, by sex, age, and jurisdiction, 2019 and 2020",,,,,,,,,,
Report title: Prisoners in 2020 – Statistical Tables NCJ 302776,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2019 and 2020",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 12/14/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Admissions of sentenced prisoners under the jurisdiction of state or federal correctional authorities, 2019 and 2020",,,,,,,,,,
Jurisdiction,,2019 total ,2020 total ,"Change, 2019–2020","Percent change, 2019–2020",,2019 new court commitments,2020 new court commitments,2019 conditional supervision violations/a,2020 conditional supervision violations/a
,U.S. total/b,"576,956","346,461","-230,495",-40,%,"395,827","226,106","167,037","108,933"
Federal/c,,"46,051","27,315","-18,736",-40.7,%,"39,329","23,452","6,722","3,863"
State/b,,"530,905","319,946","-211,759",-39.9,%,"356,498","202,654","160,315","105,070"
,Alabama,"13,267","7,963","-5,304",-40,,"8,257","5,187","1,646",852
,Alaska/d,"1,560","1,664",104,6.7,,"1,286","1,582",274,82
,Arizona,"13,440","9,999","-3,441",-25.6,,"11,025","7,798","2,352","2,164"
,Arkansas,"10,268","8,328","-1,940",-18.9,,"4,908","2,970","5,360","5,358"
,California,"34,215","11,565","-22,650",-66.2,,"29,764","10,044","4,451","1,521"
,Colorado,"9,413","5,883","-3,530",-37.5,,"6,046","4,218","3,367","1,665"
,Connecticut/d,"4,058","1,907","-2,151",-53,,"3,554","1,513",458,384
,Delaware/d,"2,007","1,104",-903,-45,,"1,510",822,486,276
,Florida/e,"27,986","13,147","-14,839",-53,,"27,118","12,789",86,29
,Georgia,"18,277","9,861","-8,416",-46,,"16,032","8,154","2,236","1,704"
,Hawaii/d,"1,440","1,260",-180,-12.5,,723,636,717,624
,Idaho,"5,250","2,717","-2,533",-48.2,,"1,729","1,320","3,248","1,397"
,Illinois/f,"21,951","11,631","-10,320",-47,,"14,003","7,021","7,943","4,585"
,Indiana,"11,172","5,767","-5,405",-48.4,,"8,785","4,748","2,279",988
,Iowa,"6,331","3,657","-2,674",-42.2,,"3,798","2,323","2,524","1,334"
,Kansas,"5,871","3,244","-2,627",-44.7,,"3,835","2,505","1,249",557
,Kentucky,"19,407","12,402","-7,005",-36.1,,"12,170","7,559","7,075","4,644"
,Louisiana,"16,040","9,593","-6,447",-40.2,,"11,341","6,469","4,699","3,124"
,"Maine/g,h",892,433,:,:,,466,215,426,218
,Maryland/i,"7,171","3,047","-4,124",-57.5,,"5,265","2,074","1,896",969
,Massachusetts,"1,950",924,"-1,026",-52.6,,"1,695",716,246,202
,Michigan,"10,761","6,038","-4,723",-43.9,,"6,276","3,354","2,406","1,617"
,Minnesota,"6,894","3,949","-2,945",-42.7,,"4,086","2,435","2,808","1,514"
,Mississippi,"7,284","5,051","-2,233",-30.7,,"4,620","3,316","2,414","1,733"
,Missouri,"14,385","11,722","-2,663",-18.5,,"7,384","5,300","6,995","6,420"
,Montana,"2,428","1,791",-637,-26.2,,"1,533","1,191",895,600
,Nebraska,"2,495","2,080",-415,-16.6,,"2,052","1,673",441,403
,Nevada,"5,805","4,311","-1,494",-25.7,,"4,375","3,325","1,152",977
,New Hampshire,"1,292",884,-408,-31.6,,568,239,724,645
,New Jersey,"7,216","3,845","-3,371",-46.7,,"5,063","2,564","2,153","1,281"
,New Mexico/j,"3,122","2,380",-742,-23.8,,"1,892","1,421","1,010",834
,New York,"17,587","6,977","-10,610",-60.3,,"10,279","3,900","7,223","3,047"
,North Carolina,"16,554","11,965","-4,589",-27.7,,"11,820","8,130","4,730","3,835"
,North Dakota,"1,419",863,-556,-39.2,,"1,150",719,269,144
,Ohio/j,"20,316","14,749","-5,567",-27.4,,"14,792","9,670","5,003","4,713"
,Oklahoma,"7,491","4,682","-2,809",-37.5,,"6,024","3,495","1,445","1,136"
,Oregon/g,"5,580","3,554",:,:,,"3,716",/,"1,722",/
,Pennsylvania,"16,858","9,824","-7,034",-41.7,,"7,670","4,399","8,217","5,053"
,Rhode Island/d,655,393,-262,-40,,539,332,116,61
,South Carolina,"5,859","3,347","-2,512",-42.9,,"4,825","2,620","1,018",720
,South Dakota,"4,434","3,300","-1,134",-25.6,,"1,482","1,363",903,617
,Tennessee,"12,965","8,598","-4,367",-33.7,,"7,944","5,035","5,021","3,563"
,Texas,"74,393","46,592","-27,801",-37.4,,"48,156","27,687","24,629","18,224"
