Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p21stt02.csv,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
,,2020,,,2021,,,"Change, 2020–2021",,,"Percent change, 2020–2021",,,,,
Jurisdiction,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
,U.S. total,"1,221,164","1,137,410","83,754","1,204,322","1,120,973","83,349","-16,842","-16,437",-405,-1.4,%,-1.4,%,-0.5,%
Federal/a,,"152,156","141,964","10,192","157,314","146,365","10,949","5,158","4,401",757,3.4,%,3.1,%,7.4,%
State,,"1,069,008","995,446","73,562","1,047,008","974,608","72,400","-22,000","-20,838","-1,162",-2.1,%,-2.1,%,-1.6,%
,Alabama,"25,328","23,166","2,162","25,032","22,915","2,117",-296,-251,-45,-1.2,,-1.1,,-2.1,
,Alaska/b,"4,578","4,159",419,"4,639","4,197",442,61,38,23,1.3,,0.9,,5.5,
,Arizona/c,"37,794","34,136","3,658","33,914","30,794","3,120","-3,880","-3,342",-538,-10.3,,-9.8,,-14.7,
,Arkansas,"16,094","14,781","1,313","17,022","15,592","1,430",928,811,117,5.8,,5.5,,8.9,
,California/c,"100,396","96,629","3,767","101,441","97,525","3,916","1,045",896,149,1,,0.9,,4,
,Colorado/c,"16,259","14,948","1,311","15,865","14,599","1,266",-394,-349,-45,-2.4,,-2.3,,-3.4,
,Connecticut/b,"9,559","9,020",539,"9,889","9,254",635,330,234,96,3.5,,2.6,,17.8,
,Delaware/b,"4,710","4,486",224,"4,810","4,568",242,100,82,18,2.1,,1.8,,8,
,Florida,"81,027","76,012","5,015","80,417","75,404","5,013",-610,-608,-2,-0.8,,-0.8,,0,
,Georgia,"47,141","44,041","3,100","47,010","43,942","3,068",-131,-99,-32,-0.3,,-0.2,,-1,
,Hawaii/b,"4,171","3,744",427,"4,102","3,669",433,-69,-75,6,-1.7,,-2,,1.4,
,"Idaho/c,d,e","8,356","7,270","1,086","8,907","7,668","1,239",:,:,:,:,,:,,:,
,Illinois,"29,729","28,311","1,418","28,475","27,165","1,310","-1,254","-1,146",-108,-4.2,,-4,,-7.6,
,Indiana/c,"26,051","23,417","2,634","24,716","22,397","2,319","-1,335","-1,020",-315,-5.1,,-4.4,,-12,
,Iowa,"8,307","7,616",691,"8,562","7,859",703,255,243,12,3.1,,3.2,,1.7,
,Kansas,"8,779","8,019",760,"8,521","7,793",728,-258,-226,-32,-2.9,,-2.8,,-4.2,
,Kentucky,"18,552","16,528","2,024","18,560","16,493","2,067",8,-35,43,0,,-0.2,,2.1,
,Louisiana,"26,964","25,773","1,191","26,074","24,849","1,225",-890,-924,34,-3.3,,-3.6,,2.9,
,Maine,"1,714","1,586",128,"1,577","1,466",111,-137,-120,-17,-8,,-7.6,,-13.3,
