Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p21stt04.csv,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex and jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,,
,,2020,,,2021,,,"Change, 2020–2021",,,"Percent change, 2020–2021",,,,,
Jurisdiction,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
,U.S. total,"1,185,733","1,105,750","79,983","1,163,665","1,084,717","78,948","-22,068","-21,033","-1,035",-1.9,%,-1.9,%,-1.3,%
Federal/a,,"142,028","132,407","9,621","144,448","134,302","10,146","2,420","1,895",525,1.7,%,1.4,%,5.5,%
State,,"1,043,705","973,343","70,362","1,019,217","950,415","68,802","-24,488","-22,928","-1,560",-2.3,%,-2.4,%,-2.2,%
,Alabama,"19,608","18,373","1,235","19,411","18,176","1,235",-197,-197,0,-1,,-1.1,,0,
,Alaska/b,"1,794","1,695",99,"1,563","1,478",85,-231,-217,-14,-12.9,,-12.8,,-14.1,
,Arizona/c,"37,101","33,566","3,535","33,227","30,248","2,979","-3,874","-3,318",-556,-10.4,,-9.9,,-15.7,
,Arkansas,"16,052","14,750","1,302","16,977","15,555","1,422",925,805,120,5.8,,5.5,,9.2,
,California/c,"100,313","96,551","3,762","101,389","97,474","3,915","1,076",923,153,1.1,,1,,4.1,
,"Colorado/c,d","16,168","14,858","1,310","15,783","14,518","1,265",-385,-340,-45,-2.4,,-2.3,,-3.4,
,Connecticut/b,"6,359","6,062",297,"5,607","5,341",266,-752,-721,-31,-11.8,,-11.9,,-10.4,
,Delaware/b,"3,118","3,024",94,"2,792","2,716",76,-326,-308,-18,-10.5,,-10.2,,-19.1,
,Florida,"81,027","76,012","5,015","80,417","75,404","5,013",-610,-608,-2,-0.8,,-0.8,,0,
,Georgia,"46,574","43,515","3,059","46,342","43,331","3,011",-232,-184,-48,-0.5,,-0.4,,-1.6,
,Hawaii/b,"2,740","2,490",250,"2,599","2,364",235,-141,-126,-15,-5.1,,-5.1,,-6,
,"Idaho/c,e,f","7,343","6,328","1,015","8,671","7,459","1,212",:,:,:,:,,:,,:,
,Illinois/d,"29,729","28,311","1,418","28,469","27,159","1,310","-1,260","-1,152",-108,-4.2,,-4.1,,-7.6,
,Indiana/c,"24,520","22,130","2,390","22,857","20,796","2,061","-1,663","-1,334",-329,-6.8,,-6,,-13.8,
,Iowa,"8,280","7,591",689,"8,529","7,827",702,249,236,13,3,,3.1,,1.9,
,Kansas,"8,677","7,939",738,"8,408","7,704",704,-269,-235,-34,-3.1,,-3,,-4.6,
