Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p21stt09.csv,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Releases of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,
Jurisdiction,,2020 total ,2021 total ,"Change, 2020–2021","Percent change, 2020–2021",,2020 unconditional/a,2021 unconditional/a,2020 conditional/b,2021 conditional/b,2020 deaths/c,2021 deaths/c
,U.S. total/d,"549,622","443,740","-105,882",-19.3,%,"140,450","113,887","391,019","312,870","6,076","5,207"
Federal/e,,"46,899","39,394","-7,505",-16,%,"43,516","37,290",253,144,526,410
State/d,,"502,723","404,346","-98,377",-19.6,%,"96,934","76,597","390,766","312,726","5,550","4,797"
,Alabama/f,"11,178","9,372","-1,806",-16.2,,"3,356","2,531","5,126","3,888",211,188
,Alaska/g,"1,626","1,687",61,3.8,,472,636,"1,149","1,046",5,5
,Arizona,"13,938","13,581",-357,-2.6,,"2,081","2,071","11,692","11,365",163,145
,Arkansas,"9,760","7,547","-2,213",-22.7,,717,629,"8,917","6,845",126,73
,California,"39,673","25,599","-14,074",-35.5,,135,148,"38,961","24,986",505,423
,Colorado/f,"9,568","6,072","-3,496",-36.5,,"1,037",639,"8,355","5,294",74,57
,Connecticut/g,"4,387","2,988","-1,399",-31.9,,"2,031","1,432","2,251","1,549",6,3
,"Delaware/g,h","1,738","1,463",-275,-15.8,,127,101,"1,523","1,272",20,15
,Florida,"28,720","24,552","-4,168",-14.5,,"17,640","14,684","10,478","9,417",592,445
,Georgia,"16,460","12,042","-4,418",-26.8,,"7,872","6,337","8,315","5,470",273,235
,Hawaii/g,"1,126","1,194",68,6,,314,360,797,818,14,16
,Idaho,"4,001","3,045",-956,-23.9,,569,473,"3,007","2,546",36,26
,Illinois/i,"20,589","16,594","-3,995",-19.4,,"2,942","2,195","17,471","14,188",171,128
,Indiana,"9,893","8,816","-1,077",-10.9,,"1,165",974,"8,588","7,768",140,74
,Iowa,"4,767","3,217","-1,550",-32.5,,"1,015",746,"3,709","2,427",35,35
,Kansas,"4,693","3,354","-1,339",-28.5,,422,121,"4,232","3,193",39,39
,Kentucky,"16,531","13,032","-3,499",-21.2,,"4,475","3,052","11,768","9,704",98,81
,Louisiana,"14,019","12,533","-1,486",-10.6,,"1,053","1,131","12,794","11,266",158,136
,Maine/j,974,874,-100,-10.3,,490,398,477,467,7,9
