state,1993,1992,1991,1990,1999,1998,1997,1996,1995,1994,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,4193114,4139269,4091025,4048508,4369862,4351037,4320281,4290403,4262731,4232965,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5031362,5049846,5074296
Alaska,596993,587073,569273,553120,619500,615205,608846,604918,601345,600624,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,732923,734182,733583
Arizona,3993390,3867333,3762394,3679056,4778332,4667277,4552207,4432308,4306908,4147561,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7179943,7264877,7359197
Arkansas,2423743,2394098,2370666,2354343,2551373,2538202,2524007,2504858,2480121,2450605,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3014195,3028122,3045637
California,31147208,30875920,30414114,29950111,33145121,32682794,32217708,31780829,31493525,31317179,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39501653,39142991,39029342
Colorado,3560884,3459995,3367567,3303862,4056133,3968967,3891293,3812716,3738061,3653910,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5784865,5811297,5839926
Connecticut,3272325,3274997,3288640,3289056,3282031,3272563,3268514,3267030,3265293,3268346,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3597362,3623355,3626205
Delaware,699475,690158,680495,669063,753538,744066,735024,727090,718265,708416,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,992114,1004807,1018396
Florida,13713593,13504775,13289497,13018365,15111244,14908230,14683350,14426911,14185403,13961798,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21589602,21828069,22244823
Georgia,6894092,6759474,6621279,6506531,7788240,7636522,7486094,7332225,7188538,7045900,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10729828,10788029,10912876
Hawaii,1161508,1149926,1131412,1112703,1185497,1190472,1189322,1184434,1180490,1173903,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1451043,1447154,1440196
Idaho,1101204,1066490,1038915,1011882,1251700,1230923,1210638,1187706,1165000,1135459,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1849202,1904314,1939033
Illinois,11725984,11635197,11535973,11446979,12128370,12069774,12011509,11953003,11884935,11804986,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12786580,12686469,12582032
Indiana,5701965,5648649,5602062,5555097,5942901,5907617,5872370,5834908,5791819,5745626,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6788799,6813532,6833037
Iowa,2820525,2806923,2791227,2779769,2869413,2861025,2854396,2848473,2840860,2829422,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3190571,3197689,3200517
Kansas,2547605,2526042,2495209,2480683,2654052,2638667,2616339,2598266,2586942,2569118,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2937919,2937922,2937150
Kentucky,3792288,3756358,3714686,3692584,3960825,3934310,3907816,3881051,3855248,3823215,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4507445,4506589,4512310
Louisiana,4284749,4270849,4240950,4219179,4372035,4362758,4351390,4338763,4327978,4306500,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4651664,4627098,4590241
Maine,1238256,1235748,1235439,1231296,1253040,1247554,1245215,1241436,1237438,1237687,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1363557,1377238,1385340
Maryland,4942504,4902545,4856176,4797431,5171634,5130072,5092914,5057142,5023650,4985411,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6173205,6174610,6164660
Massachusetts,6010884,5993474,5998652,6018664,6175169,6144407,6115476,6085393,6062335,6031352,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6995729,6989690,6981974
Michigan,9529240,9470323,9395022,9310462,9863775,9820231,9785450,9739184,9659871,9584481,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,10069577,10037504,10034113
Minnesota,4521709,4471503,4427429,4387283,4775508,4726411,4687726,4647723,4605445,4566028,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5709852,5711471,5717184
