state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,22290,22676,24658,26332,26741,27947,27913,25887,27888,28241,29412,30508,31874,31764,32270,32431,32381,31771,30810,28883,27608,26841,28304,25328,25032
Alaska,4165,4097,3949,4173,4571,4398,4527,4554,4812,5069,5167,5014,5285,5391,5412,5633,5081,5794,5338,4434,4399,4380,4475,4578,4639
Arizona,23484,25515,25986,26510,27710,29359,31170,32515,33565,35801,37746,39589,40544,40209,40020,40080,41104,42259,42719,42320,42030,42005,42441,37794,33914
Arkansas,10021,10638,11415,11915,12594,13091,13315,13807,13541,13729,14314,14716,15208,16204,16108,14654,17235,17874,17707,17537,18070,17799,17759,16094,17022
California,155790,161904,163067,163001,159444,161361,164487,166556,170676,175512,174282,173670,171275,165062,149569,134534,135981,136085,129593,130084,131039,128625,122687,100396,101441
Colorado,13461,14312,15670,16833,17448,18833,19671,20293,21456,22481,22841,23274,22795,22815,21978,20462,20371,20646,20041,19981,19946,20372,19785,16259,15865
Connecticut,17241,17605,18639,18355,19196,20720,19846,19497,19442,20566,20924,20661,19716,19321,18324,17530,17563,16636,15816,14957,14040,13681,12823,9559,9889
Delaware,5435,5558,6983,6921,7003,6778,6794,6927,6966,7186,7276,7075,6775,6615,6739,6914,7004,6955,6654,6585,6443,6067,5692,4710,4810
Florida,64626,67224,69596,71319,72404,75210,82012,85533,89768,92969,98219,102388,103915,104306,103055,101930,103028,102870,101424,99974,98504,97538,96009,81027,80417
Georgia,36505,39262,42091,44232,45937,47445,47208,51104,48749,52792,54256,52719,56986,56432,55944,55457,54004,52949,52193,53627,53667,53647,54816,47141,47010
Hawaii,4978,4924,4903,5053,5431,5423,5828,5960,6146,5967,5978,5955,5891,5912,6037,5831,5632,5866,5879,5602,5630,5375,5279,4171,4102
Idaho,3911,4083,4842,5535,5984,5746,5737,6375,6818,7124,7319,7290,7400,7431,7739,7985,7549,8117,8052,8252,8579,8664,9437,8356,8907
Illinois,40788,43051,44660,45281,44348,42693,43418,44054,44919,45106,45215,45474,45161,48418,48427,49348,48653,48278,46240,43657,41427,39965,38259,29729,28475
Indiana,17903,19197,19309,20125,20966,21611,23069,24008,24455,26091,27132,28322,28808,28028,28906,28831,29913,29271,27355,25546,26024,26877,27180,26051,24716
Iowa,6938,7394,7232,7955,7962,8398,8546,8525,8737,8838,8732,8766,8813,9455,9116,8733,8697,8838,8849,9031,9024,9419,9282,8307,8562
Kansas,7911,8183,8567,8344,8577,8935,9132,8966,9068,8816,8696,8539,8641,9051,9327,9682,9763,9877,9857,9920,10015,10218,10177,8779,8521
Kentucky,14600,14987,15317,14919,15424,15820,16622,17814,19662,20000,22457,21706,21638,20544,21545,22110,21030,21657,21701,23022,23543,23431,23082,18552,18560
Louisiana,29265,32228,34066,35207,35810,36032,36047,36939,36083,37012,37540,38381,39780,39445,39710,40172,39299,38030,36377,35682,33739,32397,31609,26964,26074
Maine,1620,1691,1716,1679,1704,1900,2013,2024,2023,2120,2148,2195,2206,2154,2145,2108,2173,2242,2279,2404,2404,2425,2185,1714,1577
Maryland,22232,22572,23095,23538,23752,24162,23791,23285,22737,22945,23433,23324,22255,22645,22558,21522,21335,21011,20764,19994,19367,18856,18595,15623,15134
Massachusetts,11947,11799,11356,10722,10588,10329,10232,10144,10701,11032,11436,11408,11316,11313,11623,11308,10950,10713,9922,9403,9133,8692,8205,6762,6148
Michigan,44771,45879,46617,47718,48849,50591,49358,48883,49546,51577,50233,48738,45478,44165,42940,43636,43759,43390,42628,41122,39666,38761,38053,33617,32186
Minnesota,5326,5572,5969,6238,6606,7129,7865,8758,9281,9108,9468,9406,9986,9796,9800,9938,10289,10637,10798,10592,10708,10101,9982,8148,8003
Mississippi,14296,16678,18247,20241,21460,22705,20589,20983,20515,21068,22431,22754,21482,21067,21386,22319,21969,18793,18911,19192,19103,19275,19417,17577,17332
Missouri,23998,24974,26155,27543,28757,30099,30303,31081,30823,30167,29857,30186,30563,30623,30833,31247,31537,31942,32330,32461,32601,30369,26044,23062,23422
Montana,2517,2734,2951,3105,3328,3323,3620,3164,3532,3563,3462,3607,3605,3716,3678,3609,3642,3699,3685,3814,3698,3765,4723,3927,4313
Nebraska,3402,3676,3688,3895,3937,4058,4040,4130,4455,4407,4505,4520,4474,4587,4616,4705,5026,5441,5372,5302,5313,5491,5682,5306,5600
Nevada,9024,9651,9494,10063,10233,10478,10543,11365,11782,12901,13400,12743,12482,12653,12778,12883,13056,12537,13071,13757,13721,13641,12840,11249,10202
New Hampshire,2168,2169,2257,2257,2392,2451,2434,2448,2530,2805,2943,2904,2731,2761,2614,2790,3018,2963,2897,2818,2750,2722,2691,2352,2127
New Jersey,28361,31121,31493,29784,28142,27891,27246,26757,27359,27371,26827,25953,25382,25007,23834,23225,22452,21590,20489,19786,19585,19362,18613,12830,12506
New Mexico,4688,5078,5124,5342,5668,5991,6223,6379,6571,6639,6466,6402,6363,6763,6998,6727,6849,7021,7104,7055,7276,7030,6723,5500,5154
New York,70295,70001,72899,70199,67533,67065,65198,63751,62743,63315,62620,60347,58687,56656,55436,54210,53550,52518,51727,50716,49461,46636,43500,34128,30338
North Carolina,31612,31961,31123,31266,32253,32832,33560,35434,36365,37460,37970,39482,39860,40382,39440,37136,36922,37096,36617,35697,36394,34899,34079,29461,28995
North Dakota,797,915,943,1076,1111,1112,1239,1327,1385,1363,1416,1452,1486,1487,1423,1512,1513,1718,1795,1791,1723,1695,1794,1401,1689
Ohio,48016,48450,46842,45833,45281,45646,44778,44806,45854,49166,50731,51686,51606,51712,50964,50876,51729,51519,52233,52175,51478,50431,50338,45036,45029
Oklahoma,20542,20892,22393,23181,22780,22802,22821,24508,26676,26243,25849,25864,24803,26252,25977,25225,27547,27650,28547,29916,28143,26956,25033,22462,22391
Oregon,7999,8981,9860,10580,11410,12085,12715,13183,13411,13707,13948,14167,14403,14876,14510,14840,15362,15075,15245,15166,15218,15268,14961,12753,13198
Pennsylvania,34964,36377,36525,36847,38062,40168,40890,40963,42380,44397,45969,50147,51429,51264,51578,51125,50312,50694,49858,49244,48333,47239,45702,39357,37194
Rhode Island,3371,3445,3003,3286,3241,3520,3527,3430,3654,3996,4018,4045,3674,3357,3337,3318,3361,3359,3248,3103,2861,2767,2740,2227,2238
South Carolina,21173,21764,22008,21778,22576,23715,23719,23428,23160,23616,24239,24326,24288,23578,22914,22388,22060,21401,20929,20858,19906,19033,18608,16157,15759
South Dakota,2242,2422,2506,2616,2790,2918,3026,3095,3463,3359,3311,3342,3434,3434,3535,3650,3651,3608,3564,3831,3970,3948,3801,3250,3353
Tennessee,16659,17738,22502,22166,23671,24989,25403,25884,26369,25745,26267,27228,26965,27451,28479,28411,28521,28769,28172,28203,28980,26321,26349,22685,21995
Texas,140351,144510,163190,166719,162070,162003,166911,168105,169003,172116,171790,172506,171249,173649,172224,166372,168280,166043,163909,163703,162523,163628,158429,135906,133772
Utah,4301,4453,5322,5637,5339,5562,5763,5991,6382,6433,6515,6546,6538,6807,6879,6962,7075,7031,6495,6175,6219,6651,6671,5448,5907
Vermont,1270,1473,1536,1697,1741,1863,1944,1968,2078,2215,2145,2116,2220,2079,2053,2034,2078,1979,1750,1735,1546,1659,1608,1284,1287
Virginia,28385,30276,29789,30168,31662,34973,35067,35564,35344,36688,38069,38276,38059,37638,38130,37044,36982,37544,38403,37813,37158,36660,36091,31838,30357
Washington,13214,14161,14590,14915,15159,16062,16148,16614,17382,17561,17772,17926,18233,18235,17847,17271,17984,18120,18284,19104,19656,19523,19261,15724,13674
West Virginia,3148,3478,3532,3856,4215,4544,4758,5067,5312,5733,6056,6059,6367,6681,6826,7070,6824,6896,7118,7162,7092,6775,6800,6044,5847
Wisconsin,16277,18403,20415,20754,21495,22113,22604,22959,22697,23415,23743,23380,23165,22729,22654,22600,22471,22597,22975,23377,23945,24064,23956,20298,20202
Wyoming,1549,1571,1713,1680,1684,1737,1872,1980,2047,2114,2084,2084,2075,2112,2183,2204,2310,2383,2424,2374,2473,2543,2479,2087,2123
