state,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,11283,11079,11556,12231,12070,6835,11253,11488,11585,11446,12711,13624,14015,12251,11178,9372
Alaska,2719,3286,3741,3196,3068,NA,3774,3774,3774,4085,2159,1941,1735,1717,1626,1687
Arizona,12209,12560,13192,13854,13500,10193,13000,12931,13513,14092,13857,14075,13683,13034,13938,13581
Arkansas,5668,6045,6610,6990,6664,6874,6298,6541,8812,9702,10370,8443,9805,9768,9760,7547
California,133905,135920,136925,128869,121918,95541,47454,36353,38559,41257,34528,36894,34461,37863,39673,25599
Colorado,9441,10604,10616,10858,10558,7708,10919,10220,9869,9958,8934,9669,9774,9891,9568,6072
Connecticut,6019,6056,6404,6850,6095,2611,6014,5177,5968,5937,5618,5169,4843,4371,4387,2988
Delaware,1470,1905,1617,1697,1681,3462,4012,4251,4222,4261,4041,2736,2504,2076,1738,1463
Florida,35454,28705,37277,37167,32649,11914,33661,32855,32754,32690,31166,30467,30132,30140,28720,24552
Georgia,17468,18774,19463,16161,16745,11117,14021,18226,17124,15599,15053,15210,16348,15876,16460,12042
Hawaii,1500,1518,1795,1915,1764,619,1631,1615,1242,1293,1666,1834,1816,1623,1126,1194
Idaho,3808,3850,3891,3743,4264,3580,4617,3761,4501,5315,5479,5395,5444,4443,4001,3045
Illinois,NA,35737,35780,38034,31055,25229,30108,31370,30055,29650,28615,26850,24415,23834,20589,16594
Indiana,16410,17099,18308,19699,19911,16533,18555,17959,17866,16075,14561,11708,11075,11045,9893,8816
Iowa,5834,5718,5557,4648,4367,3168,5221,5202,5005,5134,5305,5632,5434,6266,4767,3217
Kansas,5318,4966,4655,4721,4553,3483,4795,5133,5554,5924,6394,6406,6411,6018,4693,3354
Kentucky,13381,13819,15413,14138,15962,9878,16215,16871,17731,18476,18552,20555,20014,19545,16531,13032
Louisiana,14618,14984,14991,14924,17262,14977,17104,17646,17882,17971,16308,17868,16759,16868,14019,12533
Maine,501,1090,720,1141,1176,345,1108,971,1031,682,647,684,757,744,974,874
Maryland,10176,10123,10383,10807,9387,8288,10347,9504,9466,10258,9459,8850,8141,7443,5933,4614
Massachusetts,2254,2248,2667,2850,2908,438,2871,2855,2654,2708,2458,2309,2316,2312,2212,1783
Michigan,12641,14685,13621,18197,17033,11831,13199,14307,14177,13713,14081,13470,12212,11470,10478,8099
Minnesota,7591,7971,7936,7777,7882,6686,7730,7808,7642,7669,8254,8092,7838,7032,5876,4481
Mississippi,10123,8455,7817,9285,8694,6540,7725,8201,9442,6104,7080,7748,7502,7047,6655,6268
Missouri,20092,19323,18864,18097,17799,16122,17957,18790,18767,17930,18410,18431,19493,18617,14643,12389
Montana,2262,2176,2117,2212,2152,1802,2089,2347,2387,2413,2546,2770,2841,2487,2517,1740
Nebraska,2041,1952,1963,2107,2123,1533,2688,2583,2284,2317,2366,2387,2239,2317,2453,1922
Nevada,4700,4904,5278,5967,6036,3730,5556,4903,5838,5838,5778,6549,6434,6689,5753,5116
New Hampshire,1187,1179,1310,1460,1584,1763,1555,1633,1562,1660,1601,1409,1351,1339,1246,1088
New Jersey,13986,14358,13885,12860,12821,5440,10817,10766,10275,10248,9685,8959,8159,8115,9711,4815
New Mexico,4274,4507,4013,3650,3487,2451,3371,3345,3515,3737,3631,3631,3598,3508,3090,2618
New York,25079,27009,27482,25481,25365,21560,24224,23382,22927,21775,22047,21667,21691,20637,16249,12411
North Carolina,9976,10074,10615,11495,11539,3354,12327,13829,15264,16353,16677,17244,18111,17215,15960,13280
North Dakota,1039,977,1051,1003,1006,814,1069,1173,1046,1484,1583,1627,1555,1318,1220,1114
Ohio,28552,29236,28552,26949,24495,10590,21628,21235,22399,21759,22850,22299,21774,20409,20052,16844
Oklahoma,7867,8486,7915,8004,7903,3451,6947,7374,8654,8898,10404,9682,9111,9332,8100,5798
Oregon,5138,5080,5055,5422,5290,4327,5023,5048,5432,5084,4712,5428,5529,5885,5139,4045
Pennsylvania,15648,16340,15618,14630,16781,13425,18805,19632,20555,20847,20418,19673,18550,17838,15591,13744
Rhode Island,967,884,1086,1246,1113,333,967,885,867,781,939,875,768,699,660,547
South Carolina,9208,9461,9506,9321,8716,4466,7309,6716,6897,6595,6709,6847,6598,6276,5659,4208
South Dakota,3137,3259,3102,3079,2857,2381,1959,1820,2413,2746,2832,3859,4298,4549,3873,3724
Tennessee,15298,15537,15414,15762,14735,10213,15955,16348,15556,14488,13508,13307,13718,14165,13484,11001
Texas,70413,73023,72168,72320,71497,60255,82130,74093,77277,76189,76733,77196,77714,78532,66726,58262
Utah,3469,3393,3400,3498,3109,1816,3063,2988,2979,3346,3611,3781,3514,4038,4156,3154
Vermont,2329,2345,2241,1973,2130,1719,1963,1752,1740,1886,1733,1795,2476,2470,1182,791
Virginia,12794,12559,13194,13168,12989,10854,11568,11880,12094,12483,12648,12698,12862,12695,12904,10633
Washington,15363,16488,15061,17035,17060,14195,18181,20861,20898,21939,24940,25658,26861,24487,17014,13444
West Virginia,2391,2969,3126,2943,3009,1680,3293,3780,3468,3644,3543,3652,4148,4143,3429,3061
Wisconsin,8749,8903,9391,8771,8640,7366,7724,5475,5433,5532,5743,5592,5836,5859,6023,5010
Wyoming,769,778,764,824,788,542,878,895,862,900,1041,963,989,1013,1094,780
