state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,21680,22214,24109,24123,26138,27532,27272,25257,27003,27526,28605,29694,30723,30739,31271,31437,31354,30766,29762,27799,23724,20473,20595,19608,19411
Alaska,2571,2541,2325,2128,2196,2577,2629,2632,2781,3116,3072,2966,2508,2775,2901,2974,2682,2075,2261,2089,1905,1939,1782,1794,1563
Arizona,22353,23500,23944,25412,26463,28008,29722,31106,31411,33557,35490,37188,38529,38423,38370,38402,39062,40175,40952,40849,40263,40426,40951,37101,33227
Arkansas,9936,10561,11336,11851,12496,12999,13244,13668,13383,13713,14310,14660,15144,16147,16037,14615,17159,17819,17656,17476,18028,17795,17713,16052,16977
Callifornia,152739,159201,160517,160412,157295,159984,162678,164933,168982,173942,172856,172583,170131,164213,149025,134211,135981,135711,129205,129080,129920,127417,122417,100313,101389
Colorado,13461,14312,15670,16833,17448,18833,19671,20293,21456,22481,22841,23274,22795,22815,21978,20462,20371,20646,20041,19862,19824,20254,19785,16168,15783
Connecticut,11920,12193,13032,13155,13276,14082,13587,13240,13121,13746,14397,14271,13466,13308,12549,11961,12162,11735,11220,10365,9626,9008,8751,6359,5607
Delaware,3264,3211,3730,3937,4033,3659,4122,4087,3972,4195,4201,4067,3971,3961,4003,4129,4112,4141,4188,4090,4066,3985,3735,3118,2792
Florida,64574,67193,69594,71318,72404,75204,82003,85530,89766,92874,98219,102388,103915,104306,103055,101930,103028,102870,101424,99974,98504,97538,96009,81027,80417
Georgia,35787,38758,42008,44141,45904,47424,47200,51089,48741,52781,54232,52705,55516,54685,53955,53990,53478,52485,51700,53064,53094,53015,54113,46574,46342
Hawaii,3448,3670,3817,3553,3670,3840,4167,4174,4422,4373,4367,4304,4119,3939,3910,3819,3618,3663,3769,3629,3425,3264,3037,2740,2599
